study_accession	has_paper	host_ena_referenced	host_ena_value	host_title_referenced	host_title_value	host_abstract_referenced	host_abstract_value	is_model_organism	model_organism_disease	human_by_biome_label	host_source_summary	host_source_note	sample_host_pattern	n_host_populated	biome_labels
PRJDB38938	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	18	Mus musculus; mouse gut metagenome
PRJDB39230	False	True	Equus hemionus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	32	feces metagenome
PRJDB39249	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJDB4176	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	645	human gut metagenome
PRJDB4525	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	36	human gut metagenome
PRJDB5383	False	True	Bos taurus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	3	Enterovirus F; Enterovirus sp.; feces metagenome
PRJDB6165	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJDB6503	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	30	human gut metagenome
PRJDB6620	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	25	mouse gut metagenome
PRJDB6640	False	True	Paradoxurus hermaphroditus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	3	feces metagenome
PRJDB7378	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	50	human gut metagenome
PRJDB7630	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	40	human gut metagenome
PRJDB7767	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	118	human gut metagenome
PRJDB9383	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	8	mouse gut metagenome
PRJDB9649	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	88	human gut metagenome
PRJDB9922	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	48	mouse gut metagenome
PRJEB101774	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB101827	False	True	Gallus gallus domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	120	chicken gut metagenome
PRJEB101960	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB102170	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB102289	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB102366	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	chicken gut metagenome
PRJEB103086	False	False		False	N/A	False	N/A	False		True	human-by-biome-label	no linked paper -- deposit-only study	NO_HOST_DATA	0	human gut metagenome; mouse gut metagenome
PRJEB103317	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB10338	True	False		True	bovine	True	bovine	False		False	paper only	Metagenomic sequencing was performed on rumen samples collected from cattle (bovine).	NO_HOST_DATA	0	metagenome
PRJEB104707	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB105017	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB106128	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB106514	True	True	Panthera leo	True	lion	True	African lion (Panthera leo melanochaita)	False		False	ENA + paper	Sequenced samples came from 23 fresh faecal samples from 20 free-living African lions in Etosha National Park, Namibia.	UNIFORM	23	feline metagenome
PRJEB107655	True	True	Callithrix jacchus	True	marmosets	True	common marmosets	False		False	ENA + paper	Metagenomic shotgun sequencing was performed on gut samples from marmosets following antibiotic treatment.	UNIFORM	62	primate metagenome
PRJEB108722	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	80	mouse gut metagenome
PRJEB10878	True	False		True	human	True	human	False		True	human-by-biome-label	Metagenomic sequences came from stool samples of 667 human participants (healthy, adenoma, and carcinoma cohorts).	NO_HOST_DATA	0	human gut metagenome
PRJEB11519	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB11755	True	False		True	pig	True	pig	False		False	paper only	Metagenomic samples were sequenced from intestinal tissues (ileum, cecum, colon) of Duroc × (Landrace × Yorkshire) pigs with contrasting feed efficiency.	NO_HOST_DATA	0	pig gut metagenome
PRJEB1220	True	False		True	homeothermic animals	True	human; mouse; koala; guinea pig	False		True	human-by-biome-label	Fecal samples were sequenced from four animal hosts: human, mouse, koala, and guinea pig.	NO_HOST_DATA	0	
PRJEB12449	True	False		True	human	True	human	False		True	human-by-biome-label	Sequenced samples came from stool metagenomes of 667 human participants with different health statuses (healthy, adenoma, and carcinoma).	NO_HOST_DATA	0	human gut metagenome
PRJEB12669	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB13870	True	False		True	human	True	human	False		True	human-by-biome-label	Sequenced samples came from veterinary students with occupational exposure to livestock farms over 3 months.	NO_HOST_DATA	0	metagenome
PRJEB14215	True	False		False		True	human	False		True	human-by-biome-label	Faecal metagenomics sequenced from human cohorts with and without obesity; mice received microbiota transplants in downstream validation only.	NO_HOST_DATA	0	human gut metagenome
PRJEB14312	True	True	Ovis aries	True	sheep	True	sheep	False		False	ENA + paper	Sequenced samples came from sheep faecal (stool) samples.	UNIFORM	5	Ovis aries
PRJEB14847	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB14935	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB15095	True	False		False		True	mouse (model of colitis)	True	colitis	False	paper only	[model of colitis] Metagenomic sequencing was performed on chemically induced murine models of colitis.	NO_HOST_DATA	0	
PRJEB15296	True	False		True	piglet	True	piglet	False		False	paper only	The sequenced samples (16S rRNA and metagenomic) came from fecal samples of diarrheic neonatal piglets and healthy control piglets.	NO_HOST_DATA	0	
PRJEB15341	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB15371	True	False		True	inflammatory bowel disease patients	True	inflammatory bowel disease patients and healthy subjects	False		True	human-by-biome-label	Metagenomic samples were sequenced from human IBD patients and healthy controls; mouse models were used only for downstream mechanistic validation.	NO_HOST_DATA	0	
PRJEB1690	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB1786	True	False		False		True	human	False		True	human-by-biome-label	Sequenced samples came from 1,000 human subjects across 5 countries; mice used only for downstream mechanistic validation of metformin effects.	NO_HOST_DATA	0	
PRJEB18627	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB18805	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB20308	True	True	Canis lupus familiaris	True	dog; human	True	dog; human	False		False	ENA + paper	Metagenomes were sequenced from dog (129 samples) and human gut microbiomes; mice and pigs were used only for comparative analysis.	UNIFORM	129	
PRJEB21490	True	False		True	mice	True	mice	True	2,4-D toxicity	False	paper only	[model of 2,4-D toxicity] Metagenomic sequencing was performed on fecal samples from mice exposed to 2,4-D herbicide.	NO_HOST_DATA	0	metagenomes
PRJEB21599	True	True	Arion ater	True	Arion ater	True	Arion ater	False		False	ENA + paper	Metagenomic samples were sequenced from the gut microbiome of the common black slug Arion ater.	UNIFORM	1	Arion ater
PRJEB21612	True	False		True	primate	True	non-human primates; human	False		True	human-by-biome-label	Metagenomic sequencing was performed on 203 fecal samples from nine non-human primate species and humans in Guangxi.	NO_HOST_DATA	0	human gut metagenome
PRJEB21624	True	False		True	cattle	True	cattle	False		False	paper only	Metagenomic samples were sequenced from the rumen of cattle, not from a downstream animal model experiment.	NO_HOST_DATA	0	
PRJEB21827	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB22062	True	False		True	chicken	True	chicken	False		False	paper only	Metagenomic sequencing was performed on chicken faecal samples from two breeds.	NO_HOST_DATA	0	metagenome
PRJEB22175	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB22491	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB22710	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB22765	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB22973	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB23010	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB23147	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	5151	
PRJEB23561	True	False		True	bovine	True	bovine	False		False	paper only	Metagenomic sequencing was performed on samples from the bovine rumen microbiota.	NO_HOST_DATA	0	bovine metagenome
PRJEB23642	True	True	Balaenoptera acutorostrata	False		True	multiple vertebrate species (mammals, birds, reptiles, amphibians, fish)	False		False	ENA + paper	Sequenced gut metagenomes from 180 predominantly wild animal species across 5 vertebrate classes plus existing animal datasets.	UNIFORM	12	Balaenoptera acutorostrata
PRJEB24006	True	False		True	neonates	True	neonates	False		False	paper only	Shotgun metagenomic sequencing was performed on fecal samples from human neonates at risk for asthma; mice were used only in downstream mechanistic validation.	NO_HOST_DATA	0	
PRJEB24041	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB25514	True	False		True	human	True	human	False		True	human-by-biome-label	Metagenomic sequencing was performed on fecal samples from 86 Chinese individuals across three age groups (long-living, elderly, and young).	NO_HOST_DATA	0	gut metagenome; metagenomes
PRJEB26512	False	True	Akkermansia muciniphila; Anaerococcus vaginalis; Anaerostipes caccae; Anaerostipes hadrus; Bacteroides caccae; Bacteroides faecis; Bacteroides intestinalis; Bacteroides ovatus; Bacteroides uniformis; Bifidobacterium adolescentis; Bifidobacterium breve; Bifidobacterium dentium; Bifidobacterium longum; Bifidobacterium pseudocatenulatum; Blautia glucerasea; Blautia hansenii; Blautia wexlerae; Campylobacter ureolyticus; Citrobacter amalonaticus; Clostridioides difficile; Clostridium butyricum; Clostridium paraputrificum; Clostridium tertium; Collinsella aerofaciens; Collinsella intestinalis; Eggerthella lenta; Enterocloster bolteae; Enterococcus casseliflavus; Enterococcus faecium; Escherichia coli; Eubacterium limosum; Faecalimonas nexilis; Finegoldia magna; Flavonifractor plautii; Hungatella hathewayi; Intestinibacter bartlettii; Klebsiella oxytoca; Lacticaseibacillus rhamnosus; Mediterraneibacter gnavus; Mediterraneibacter torques; Pantoea agglomerans; Parabacteroides distasonis; Parabacteroides merdae; Paraprevotella clara; Peptoniphilus gorbachii; Phocaeicola vulgatus; Phytobacter massiliensis; Roseburia intestinalis; Schaalia odontolytica; Staphylococcus aureus; Staphylococcus simulans; Streptococcus lutetiensis; Streptococcus oralis; Streptococcus parasanguinis; Streptococcus salivarius; Thomasclavelia ramosa; Veillonella atypica; Veillonella dispar; Veillonella parvula; Veillonella ratti; [Clostridium] innocuum; [Clostridium] symbiosum; uncultured Anaerotruncus sp.; uncultured Blautia sp.; uncultured Clostridium sp.	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	68	
PRJEB26564	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB26585	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB26596	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB26961	False	True	Sus scrofa domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	220	gut metagenome
PRJEB27498	True	True	Gadus morhua	True	Atlantic cod (Gadus morhua)	True	Atlantic cod (Gadus morhua)	False		False	ENA + paper	Sequenced samples came from feces of migrating Atlantic cod caught at a spawning area outside Tromsø, Norway.	UNIFORM	6	Gadus morhua
PRJEB2778	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB27928	True	False		False		True	human	False		True	human-by-biome-label	Fecal microbiota samples were collected from 34 CRC cases and 32 control humans in a case-control study.	NO_HOST_DATA	0	human gut metagenome
PRJEB28161	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB28237	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB29127	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB29152	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB29232	True	True	Vulpes vulpes	True	fox	True	fox	False		False	ENA + paper	Metagenomic samples were sequenced from gut microbiota of foxes from the tame and aggressive strains of the Russian Farm-Fox Experiment.	UNIFORM	131	Vulpes vulpes
PRJEB29346	True	True	Gadus morhua	True	salmonid	True	Atlantic salmon (Salmo salar)	False		False	ENA + paper	Gut metagenome samples were sequenced from wild Atlantic salmon populations.	UNIFORM	57	Gadus morhua
PRJEB29373	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB30661	True	False		True	Tor putitora	True	Tor putitora	False		False	paper only	Shotgun metagenomic sequencing was performed on gut samples from the endangered fish Tor putitora.	NO_HOST_DATA	0	fish gut metagenome
PRJEB30834	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB31009	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	gut metagenome
PRJEB31051	True	False		True	Blattella germanica	True	Blattella germanica	False		False	paper only	Metagenomic samples were sequenced from the gut microbiota of German cockroaches (Blattella germanica) treated and non-treated with antibiotics over two generations.	NO_HOST_DATA	0	insect gut metagenome
PRJEB31266	True	True	Bos taurus	True	bovine	True	bovine	False		False	ENA + paper	Metagenome sequencing was performed on samples from the rumen of cattle (bovine).	UNIFORM	240	
PRJEB31650	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	287	pig gut metagenome; wastewater metagenome
PRJEB31742	True	False		True	pig	True	pig	False		False	paper only	Metagenomic sequencing was performed on fecal samples from pigs in industrialized feedlots across China.	NO_HOST_DATA	0	gut metagenome
PRJEB32496	True	True	Bos	True	swine; cattle	True	swine; cattle	False		False	ENA + paper	Metagenomic sequencing was performed on gut microbiome samples from 36 swine and 41 cattle on Korean farms.	DIVERSE	77	gut metagenome
PRJEB32631	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJEB32644	False	True	Collinsella aerofaciens; Collinsella intestinalis	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE_AND_SPARSE	24	Collinsella aerofaciens; Collinsella intestinalis; mouse gut metagenome
PRJEB32790	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB32834	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJEB32890	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB33219	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB33338	True	False		True	chicken	True	chicken	False		False	paper only	Metagenomic sequencing was performed on chicken faecal samples from two breeds.	NO_HOST_DATA	0	metagenome
PRJEB33500	True	False		False		True	human	False		True	human-by-biome-label	Shotgun metagenomic sequencing was performed on gut microbiome samples from 82 overweight and obese human subjects in a randomized controlled dietary intervention trial.	NO_HOST_DATA	0	human gut metagenome
PRJEB33577	True	False		False		True	human; canine	False		True	human-by-biome-label	Shotgun metagenomics was performed on ancient archaeological paleofeces (coprolites) from humans and canines.	NO_HOST_DATA	0	
PRJEB34270	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	fish gut metagenome
PRJEB34982	True	True	Sus scrofa	True	preterm pig	True	pig (model of chorioamnionitis)	True	chorioamnionitis	False	ENA + paper	[model of chorioamnionitis] Metagenomics data came from distal small intestine samples of preterm pigs exposed to intra-amniotic LPS or control conditions.	UNIFORM	17	Sus scrofa
PRJEB34992	True	False		False		True	human	False		True	human-by-biome-label	Shotgun metagenomic sequencing was performed on gut microbiota samples from individuals with irritable bowel syndrome (N=149) and healthy controls (N=52).	NO_HOST_DATA	0	human gut metagenome
PRJEB35362	True	False		False		True	human; canine	False		True	human-by-biome-label	Sequenced samples are ancient paleofeces (coprolites) from archaeological contexts, sourced from human and canine origins.	NO_HOST_DATA	0	gut metagenome; human gut metagenome; soil metagenome
PRJEB36943	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
