study_accession	n_samples	n_host_populated	pct_host_complete	n_distinct_hosts	distinct_host_list	sample_host_pattern	seq_type_mix	n_distinct_seq_types	has_genomic	n_genomic	host_pattern_confirmed	host_pattern_llm_note
PRJDB37067	12	12	1.0	4	Capra hircus; Kobus leche; Naemorhedus goral; Ovis ammon	DIVERSE	METAGENOMIC:12	1	False	0	DIVERSE	Four genuinely different ungulate species from distinct genera; not variants or general-vs-specific relationships.
PRJDB37496	50	50	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:50	1	False	0	UNIFORM	
PRJDB37508	470	470	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:470	1	False	0	UNIFORM	
PRJDB38277	51	51	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:51	1	False	0	UNIFORM	
PRJDB38518	22	22	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:22	1	False	0	UNIFORM	
PRJDB38615	140	6	0.043	1	Mus musculus	UNIFORM_WITH_GAPS	METAGENOMIC:134; TRANSCRIPTOMIC:6	2	False	0	UNIFORM_WITH_GAPS	
PRJDB38794	8	8	1.0	1	Apis cerana	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJDB38848	12	12	1.0	3	Corvus dauuricus; Corvus frugilegus; Pyrrhocorax pyrrhocorax	DIVERSE	METAGENOMIC:12	1	False	0	DIVERSE	Three distinct corvid species representing genuinely different animals.
PRJDB38851	12	12	1.0	3	Corvus dauuricus; Corvus frugilegus; Pyrrhocorax pyrrhocorax	DIVERSE	METAGENOMIC:12	1	False	0	DIVERSE	Three distinct bird species from different genera (Corvus vs Pyrrhocorax), representing genuinely different animals.
PRJDB38938	18	18	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:12; TRANSCRIPTOMIC SINGLE CELL:6	2	False	0	UNIFORM	
PRJDB39230	32	32	1.0	1	Equus hemionus	UNIFORM	METAGENOMIC:32	1	False	0	UNIFORM	
PRJDB39249	8	0	0.0	0		NO_HOST_DATA	METAGENOMIC:8	1	False	0	NO_HOST_DATA	
PRJDB4176	645	645	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:645	1	False	0	UNIFORM	
PRJDB4525	36	36	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:36	1	False	0	UNIFORM	
PRJDB5383	3	3	1.0	1	Bos taurus	UNIFORM	VIRAL RNA:2; METAGENOMIC:1	2	False	0	UNIFORM	
PRJDB6165	8	0	0.0	0		NO_HOST_DATA	METAGENOMIC:8	1	False	0	NO_HOST_DATA	
PRJDB6503	30	30	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:30	1	False	0	UNIFORM	
PRJDB6620	25	25	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:25	1	False	0	UNIFORM	
PRJDB6640	3	3	1.0	1	Paradoxurus hermaphroditus	UNIFORM	METAGENOMIC:3	1	False	0	UNIFORM	
PRJDB7378	50	50	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:50	1	False	0	UNIFORM	
PRJDB7630	40	40	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:40	1	False	0	UNIFORM	
PRJDB7767	118	118	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:118	1	False	0	UNIFORM	
PRJDB9383	8	8	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJDB9649	88	88	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:88	1	False	0	UNIFORM	
PRJDB9922	48	48	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:48	1	False	0	UNIFORM	
PRJEB101774	79	0	0.0	0		NO_HOST_DATA	METAGENOMIC:79	1	False	0	NO_HOST_DATA	
PRJEB101827	120	120	1.0	1	Gallus gallus domesticus	UNIFORM	METAGENOMIC:120	1	False	0	UNIFORM	
PRJEB101960	107	0	0.0	0		NO_HOST_DATA	METAGENOMIC:107	1	False	0	NO_HOST_DATA	
PRJEB102170	71	0	0.0	0		NO_HOST_DATA	METAGENOMIC:71	1	False	0	NO_HOST_DATA	
PRJEB102289	72	0	0.0	0		NO_HOST_DATA	METAGENOMIC:72	1	False	0	NO_HOST_DATA	
PRJEB102366	72	0	0.0	0		NO_HOST_DATA	METAGENOMIC:72	1	False	0	NO_HOST_DATA	
PRJEB103086	25	0	0.0	0		NO_HOST_DATA	METAGENOMIC:25	1	False	0	NO_HOST_DATA	
PRJEB103317	71	0	0.0	0		NO_HOST_DATA	METAGENOMIC:71	1	False	0	NO_HOST_DATA	
PRJEB10338	8	0	0.0	0		NO_HOST_DATA	METAGENOMIC:8	1	False	0	NO_HOST_DATA	
PRJEB104707	41	0	0.0	0		NO_HOST_DATA	METAGENOMIC:41	1	False	0	NO_HOST_DATA	
PRJEB105017	2	0	0.0	0		NO_HOST_DATA	METAGENOMIC:2	1	False	0	NO_HOST_DATA	
PRJEB106128	1400	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1400	1	False	0	NO_HOST_DATA	
PRJEB106514	23	23	1.0	1	Panthera leo	UNIFORM	METAGENOMIC:23	1	False	0	UNIFORM	
PRJEB107655	64	62	0.969	1	Callithrix jacchus	UNIFORM	METAGENOMIC:64	1	False	0	UNIFORM	
PRJEB108722	80	80	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:80	1	False	0	UNIFORM	
PRJEB10878	128	0	0.0	0		NO_HOST_DATA	METAGENOMIC:128	1	False	0	NO_HOST_DATA	
PRJEB11519	29	0	0.0	0		NO_HOST_DATA	METAGENOMIC:29	1	False	0	NO_HOST_DATA	
PRJEB11755	295	0	0.0	0		NO_HOST_DATA	METAGENOMIC:295	1	False	0	NO_HOST_DATA	
PRJEB1220	396	0	0.0	0		NO_HOST_DATA	METAGENOMIC:396	1	False	0	NO_HOST_DATA	
PRJEB12449	110	0	0.0	0		NO_HOST_DATA	METAGENOMIC:110	1	False	0	NO_HOST_DATA	
PRJEB12669	19	0	0.0	0		NO_HOST_DATA	METAGENOMIC:19	1	False	0	NO_HOST_DATA	
PRJEB13870	196	0	0.0	0		NO_HOST_DATA	METAGENOMIC:196	1	False	0	NO_HOST_DATA	
PRJEB14215	73	0	0.0	0		NO_HOST_DATA	METAGENOMIC:73	1	False	0	NO_HOST_DATA	
PRJEB14312	5	5	1.0	1	Ovis aries	UNIFORM	METAGENOMIC:5	1	False	0	UNIFORM	
PRJEB14847	323	0	0.0	0		NO_HOST_DATA	METAGENOMIC:323	1	False	0	NO_HOST_DATA	
PRJEB14935	3	0	0.0	0		NO_HOST_DATA	METAGENOMIC:3	1	False	0	NO_HOST_DATA	
PRJEB15095	24	0	0.0	0		NO_HOST_DATA	METAGENOMIC:24	1	False	0	NO_HOST_DATA	
PRJEB15296	3	0	0.0	0		NO_HOST_DATA	METAGENOMIC:3	1	False	0	NO_HOST_DATA	
PRJEB15341	6	0	0.0	0		NO_HOST_DATA	METAGENOMIC:6	1	False	0	NO_HOST_DATA	
PRJEB15371	122	0	0.0	0		NO_HOST_DATA	METAGENOMIC:122	1	False	0	NO_HOST_DATA	
PRJEB1690	36	0	0.0	0		NO_HOST_DATA	METAGENOMIC:36	1	False	0	NO_HOST_DATA	
PRJEB1786	145	0	0.0	0		NO_HOST_DATA	METAGENOMIC:145	1	False	0	NO_HOST_DATA	
PRJEB18627	18	0	0.0	0		NO_HOST_DATA	METAGENOMIC:18	1	False	0	NO_HOST_DATA	
PRJEB18805	395	0	0.0	0		NO_HOST_DATA	METAGENOMIC:395	1	False	0	NO_HOST_DATA	
PRJEB20308	129	129	1.0	1	Canis lupus familiaris	UNIFORM	METAGENOMIC:129	1	False	0	UNIFORM	
PRJEB21490	10	0	0.0	0		NO_HOST_DATA	METAGENOMIC:10	1	False	0	NO_HOST_DATA	
PRJEB21599	1	1	1.0	1	Arion ater	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJEB21612	117	0	0.0	0		NO_HOST_DATA	METAGENOMIC:117	1	False	0	NO_HOST_DATA	
PRJEB21624	43	0	0.0	0		NO_HOST_DATA	METAGENOMIC:42; GENOMIC:1	2	True	1	NO_HOST_DATA	
PRJEB21827	12	0	0.0	0		NO_HOST_DATA	METAGENOMIC:12	1	False	0	NO_HOST_DATA	
PRJEB22062	363	0	0.0	0		NO_HOST_DATA	METAGENOMIC:363	1	False	0	NO_HOST_DATA	
PRJEB22175	96	0	0.0	0		NO_HOST_DATA	METAGENOMIC:96	1	False	0	NO_HOST_DATA	
PRJEB22491	323	0	0.0	0		NO_HOST_DATA	METAGENOMIC:323	1	False	0	NO_HOST_DATA	
PRJEB22710	52	0	0.0	0		NO_HOST_DATA	METAGENOMIC:52	1	False	0	NO_HOST_DATA	
PRJEB22765	20	0	0.0	0		NO_HOST_DATA	METAGENOMIC:20	1	False	0	NO_HOST_DATA	
PRJEB22973	245	0	0.0	0		NO_HOST_DATA	METAGENOMIC:245	1	False	0	NO_HOST_DATA	
PRJEB23010	205	0	0.0	0		NO_HOST_DATA	METAGENOMIC:205	1	False	0	NO_HOST_DATA	
PRJEB23147	5249	5151	0.981	1	Homo sapiens	UNIFORM	METAGENOMIC:5249	1	False	0	UNIFORM	
PRJEB23561	82	0	0.0	0		NO_HOST_DATA	METAGENOMIC:82	1	False	0	NO_HOST_DATA	
PRJEB23642	12	12	1.0	1	Balaenoptera acutorostrata	UNIFORM	METAGENOMIC:12	1	False	0	UNIFORM	
PRJEB24006	25	0	0.0	0		NO_HOST_DATA	METAGENOMIC:25	1	False	0	NO_HOST_DATA	
PRJEB24041	212	0	0.0	0		NO_HOST_DATA	METAGENOMIC:212	1	False	0	NO_HOST_DATA	
PRJEB25514	59	0	0.0	0		NO_HOST_DATA	METAGENOMIC:59	1	False	0	NO_HOST_DATA	
PRJEB26512	470	68	0.145	65	Akkermansia muciniphila; Anaerococcus vaginalis; Anaerostipes caccae; Anaerostipes hadrus; Bacteroides caccae; Bacteroides faecis; Bacteroides intestinalis; Bacteroides ovatus; Bacteroides uniformis; Bifidobacterium adolescentis; Bifidobacterium breve; Bifidobacterium dentium; Bifidobacterium longum; Bifidobacterium pseudocatenulatum; Blautia glucerasea; Blautia hansenii; Blautia wexlerae; Campylobacter ureolyticus; Citrobacter amalonaticus; Clostridioides difficile; Clostridium butyricum; Clostridium paraputrificum; Clostridium tertium; Collinsella aerofaciens; Collinsella intestinalis; Eggerthella lenta; Enterocloster bolteae; Enterococcus casseliflavus; Enterococcus faecium; Escherichia coli; Eubacterium limosum; Faecalimonas nexilis; Finegoldia magna; Flavonifractor plautii; Hungatella hathewayi; Intestinibacter bartlettii; Klebsiella oxytoca; Lacticaseibacillus rhamnosus; Mediterraneibacter gnavus; Mediterraneibacter torques; Pantoea agglomerans; Parabacteroides distasonis; Parabacteroides merdae; Paraprevotella clara; Peptoniphilus gorbachii; Phocaeicola vulgatus; Phytobacter massiliensis; Roseburia intestinalis; Schaalia odontolytica; Staphylococcus aureus; Staphylococcus simulans; Streptococcus lutetiensis; Streptococcus oralis; Streptococcus parasanguinis; Streptococcus salivarius; Thomasclavelia ramosa; Veillonella atypica; Veillonella dispar; Veillonella parvula; Veillonella ratti; [Clostridium] innocuum; [Clostridium] symbiosum; uncultured Anaerotruncus sp.; uncultured Blautia sp.; uncultured Clostridium sp.	DIVERSE_AND_SPARSE	METAGENOMIC:343; GENOMIC:68; TRANSCRIPTOMIC:59	3	True	68	UNIFORM_WITH_GAPS	All 65 labels are bacterial species/strains from the human gut microbiome; this is a single-host study with detailed microbial community characterization, not multiple animal hosts.
PRJEB26564	2979	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1974; GENOMIC:1005	2	True	1005	NO_HOST_DATA	
PRJEB26585	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJEB26596	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJEB26961	220	220	1.0	1	Sus scrofa domesticus	UNIFORM	METAGENOMIC:220	1	False	0	UNIFORM	
PRJEB27498	6	6	1.0	1	Gadus morhua	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJEB2778	12	0	0.0	0		NO_HOST_DATA	METAGENOMIC:12	1	False	0	NO_HOST_DATA	
PRJEB27928	82	0	0.0	0		NO_HOST_DATA	METAGENOMIC:82	1	False	0	NO_HOST_DATA	
PRJEB28161	15	0	0.0	0		NO_HOST_DATA	METAGENOMIC:15	1	False	0	NO_HOST_DATA	
PRJEB28237	191	0	0.0	0		NO_HOST_DATA	METAGENOMIC:191	1	False	0	NO_HOST_DATA	
PRJEB29127	171	0	0.0	0		NO_HOST_DATA	METAGENOMIC:171	1	False	0	NO_HOST_DATA	
PRJEB29152	47	0	0.0	0		NO_HOST_DATA	METAGENOMIC:47	1	False	0	NO_HOST_DATA	
PRJEB29232	131	131	1.0	1	Vulpes vulpes	UNIFORM	METAGENOMIC:131	1	False	0	UNIFORM	
PRJEB29346	57	57	1.0	1	Gadus morhua	UNIFORM	METAGENOMIC:57	1	False	0	UNIFORM	
PRJEB29373	134	0	0.0	0		NO_HOST_DATA	METAGENOMIC:134	1	False	0	NO_HOST_DATA	
PRJEB30661	2	0	0.0	0		NO_HOST_DATA	METAGENOMIC:2	1	False	0	NO_HOST_DATA	
PRJEB30834	267	0	0.0	0		NO_HOST_DATA	METAGENOMIC:267	1	False	0	NO_HOST_DATA	
PRJEB31009	24	0	0.0	0		NO_HOST_DATA	METAGENOMIC:24	1	False	0	NO_HOST_DATA	
PRJEB31051	113	0	0.0	0		NO_HOST_DATA	METAGENOMIC:113	1	False	0	NO_HOST_DATA	
PRJEB31266	242	240	0.992	1	Bos taurus	UNIFORM	METAGENOMIC:242	1	False	0	UNIFORM	
PRJEB31650	567	287	0.506	1	Sus scrofa	UNIFORM_WITH_GAPS	METAGENOMIC:567	1	False	0	UNIFORM_WITH_GAPS	
PRJEB31742	4	0	0.0	0		NO_HOST_DATA	METAGENOMIC:4	1	False	0	NO_HOST_DATA	
PRJEB32496	77	77	1.0	2	Bos; Swine	DIVERSE	METAGENOMIC:77	1	False	0	DIVERSE	Bos and Swine are two distinct animal species, not variants of the same animal.
PRJEB32631	2387	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1679; GENOMIC:708	2	True	708	NO_HOST_DATA	
PRJEB32644	616	24	0.039	2	Collinsella aerofaciens; Collinsella intestinalis	DIVERSE_AND_SPARSE	METAGENOMIC:561; METATRANSCRIPTOMIC:55	2	False	0	DIVERSE_AND_SPARSE	Two distinct bacterial species within the same genus Collinsella, representing genuinely different organisms.
PRJEB32790	280	0	0.0	0		NO_HOST_DATA	METAGENOMIC:280	1	False	0	NO_HOST_DATA	
PRJEB32834	74	0	0.0	0		NO_HOST_DATA	METAGENOMIC:74	1	False	0	NO_HOST_DATA	
PRJEB32890	105	0	0.0	0		NO_HOST_DATA	METAGENOMIC:105	1	False	0	NO_HOST_DATA	
PRJEB33219	53	0	0.0	0		NO_HOST_DATA	METAGENOMIC:53	1	False	0	NO_HOST_DATA	
PRJEB33338	25	0	0.0	0		NO_HOST_DATA	METAGENOMIC:25	1	False	0	NO_HOST_DATA	
PRJEB33500	244	0	0.0	0		NO_HOST_DATA	METAGENOMIC:244	1	False	0	NO_HOST_DATA	
PRJEB33577	36	0	0.0	0		NO_HOST_DATA	METAGENOMIC:36	1	False	0	NO_HOST_DATA	
PRJEB34270	8	0	0.0	0		NO_HOST_DATA	METAGENOMIC:8	1	False	0	NO_HOST_DATA	
PRJEB34982	17	17	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:17	1	False	0	UNIFORM	
PRJEB34992	144	0	0.0	0		NO_HOST_DATA	METAGENOMIC:144	1	False	0	NO_HOST_DATA	
PRJEB35362	17	0	0.0	0		NO_HOST_DATA	METAGENOMIC:17	1	False	0	NO_HOST_DATA	
PRJEB36943	90	0	0.0	0		NO_HOST_DATA	METAGENOMIC:90	1	False	0	NO_HOST_DATA	
PRJEB37062	87	0	0.0	0		NO_HOST_DATA	METAGENOMIC:87	1	False	0	NO_HOST_DATA	
PRJEB37383	12	12	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:12	1	False	0	UNIFORM	
PRJEB37572	86	86	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:86	1	False	0	UNIFORM	
PRJEB37731	3342	0	0.0	0		NO_HOST_DATA	METAGENOMIC:3342	1	False	0	NO_HOST_DATA	
PRJEB38000	94	0	0.0	0		NO_HOST_DATA	METAGENOMIC:94	1	False	0	NO_HOST_DATA	
PRJEB38095	513	0	0.0	0		NO_HOST_DATA	METAGENOMIC:513	1	False	0	NO_HOST_DATA	
PRJEB38174	340	12	0.035	1	unidentified	UNIFORM_WITH_GAPS	METAGENOMIC:340	1	False	0	UNIFORM_WITH_GAPS	
PRJEB38343	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJEB39110	70	70	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:70	1	False	0	UNIFORM	
PRJEB39465	938	938	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:800; TRANSCRIPTOMIC:138	2	False	0	UNIFORM	
PRJEB39500	203	0	0.0	0		NO_HOST_DATA	METAGENOMIC:203	1	False	0	NO_HOST_DATA	
PRJEB39685	132	132	1.0	2	Bos taurus; Meleagris gallopavo	DIVERSE	METAGENOMIC:132	1	False	0	DIVERSE	Cattle and turkey are two distinctly different species.
PRJEB39955	159	0	0.0	0		NO_HOST_DATA	METAGENOMIC:159	1	False	0	NO_HOST_DATA	
PRJEB40424	323	0	0.0	0		NO_HOST_DATA	METAGENOMIC:323	1	False	0	NO_HOST_DATA	
PRJEB40719	31	0	0.0	0		NO_HOST_DATA	METAGENOMIC:31	1	False	0	NO_HOST_DATA	
PRJEB40767	157	157	1.0	1	Rattus norvegicus	UNIFORM	METAGENOMIC:157	1	False	0	UNIFORM	
PRJEB40824	6	6	1.0	5	Gallus gallus; Meleagris gallopavo; Rodentia; Sus scrofa; Vulpes vulpes	DIVERSE	METAGENOMIC:6	1	False	0	DIVERSE	Five genuinely different animals: chicken, turkey, rodent(s), pig, and fox represent distinct species across different animal groups.
PRJEB40866	5	5	1.0	5	Alistipes sp. CU970; Barnesiella sp. CU968; Olsenella sp. CU969; Oscillibacter sp. CU971; Oscillospiraceae bacterium	DIVERSE	GENOMIC:5	1	True	5	DIVERSE	Five distinct bacterial taxa representing different genera/families, not variants of a single organism.
PRJEB40990	16	16	1.0	3	Coregonus lavaretus; Oncorhynchus mykiss; Salmo salar	DIVERSE	METAGENOMIC:16	1	False	0	DIVERSE	Three distinct fish species from different genera; not general-versus-specific variants of a single animal.
PRJEB41102	286	0	0.0	0		NO_HOST_DATA	METAGENOMIC:286	1	False	0	NO_HOST_DATA	
PRJEB41222	60	0	0.0	0		NO_HOST_DATA	METAGENOMIC:60	1	False	0	NO_HOST_DATA	
PRJEB41306	75	0	0.0	0		NO_HOST_DATA	METAGENOMIC:75	1	False	0	NO_HOST_DATA	
PRJEB41323	210	210	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:210	1	False	0	UNIFORM	
PRJEB41657	359	359	1.0	1	Salmo salar	UNIFORM	METAGENOMIC:359	1	False	0	UNIFORM	
PRJEB41786	150	0	0.0	0		NO_HOST_DATA	METAGENOMIC:150	1	False	0	NO_HOST_DATA	
PRJEB41787	107	0	0.0	0		NO_HOST_DATA	METAGENOMIC:107	1	False	0	NO_HOST_DATA	
PRJEB42282	128	0	0.0	0		NO_HOST_DATA	METAGENOMIC:128	1	False	0	NO_HOST_DATA	
PRJEB42464	59	59	1.0	1	Oncorhynchus mykiss	UNIFORM	METAGENOMIC:59	1	False	0	UNIFORM	
PRJEB43098	360	360	1.0	1	Salmo salar	UNIFORM	METATRANSCRIPTOMIC:360	1	False	0	UNIFORM	
PRJEB4336	292	0	0.0	0		NO_HOST_DATA	METAGENOMIC:292	1	False	0	NO_HOST_DATA	
PRJEB4370	433	431	0.995	2	Bacteroides cellulosilyticus; Mus musculus	DIVERSE	METAGENOMIC:426; GENOMIC:7	2	True	7	DIVERSE	Bacteroides cellulosilyticus is a bacterial species while Mus musculus is a eukaryotic mammal; these are fundamentally different organisms.
PRJEB4391	36	0	0.0	0		NO_HOST_DATA	METAGENOMIC:36	1	False	0	NO_HOST_DATA	
PRJEB44507	4	4	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJEB45273	850	850	1.0	1	Gallus gallus	UNIFORM	GENOMIC:850	1	True	850	UNIFORM	
PRJEB45274	531	531	1.0	1	Salmo salar	UNIFORM	GENOMIC:531	1	True	531	UNIFORM	
PRJEB46212	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJEB46550	344	344	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:344	1	False	0	UNIFORM	
PRJEB46788	2750	0	0.0	0		NO_HOST_DATA	METAGENOMIC:2750	1	False	0	NO_HOST_DATA	
