study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	library_source	data_source	pmid	paper_title	doi	journal	pub_year	first_author	last_author	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJNA799796	Mus musculus	10090		China:Jiangsu	40	WGS	METAGENOMIC	pubmed_metagenom_b2	35911731	Metagenomic and metabolomic analyses reveal synergistic effects of fecal microbiota transplantation and anti-PD-1 therapy on treating colorectal cancer.	10.3389/fimmu.2022.874922	Frontiers in immunology	2022.0	Huang J	Yin Y	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'mouse gut metagenome'; ENA study title: 'MIMARKS Survey related sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA801062	Rattus norvegicus				10	WGS	METAGENOMIC	pubmed_metagenom_b2	35846762	Xiong Fu Powder Regulates the Intestinal Microenvironment to Protect Bones Against Destruction in Collagen-Induced Arthritis Rat Models.	10.3389/fcimb.2022.854940	Frontiers in cellular and infection microbiology	2022.0	Xi X	Xiao C	YES								medium	inferred	Paper title explicitly mentions 'Intestinal Microenvironment'; library_source=METAGENOMIC; library_strategy=WGS; host=Rattus norvegicus (rat)
PRJNA801070	Zophobas morio	2755281			14	WGS	METAGENOMIC	pubmed_metagenom_b2	35678705	Insights into plastic biodegradation: community composition and functional capabilities of the superworm (Zophobas morio) microbiome in styrofoam feeding trials.	10.1099/mgen.0.000842	Microbial genomics	2022.0	Sun J	Rinke C	YES	Metazoa	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Zophobas	Zophobas morio	high	explicit	ENA study titles explicitly state 'superworm gut microbiome metagenome' (multiple replicates) and 'superworm fecies microbiome'; isolation sources confirm 'superworm gut microbiome' and 'superworm feces microbiome'; library_source=METAGENOMIC; library_strategy=WGS; biome label='insect gut metagenome'
PRJNA739153	Mus musculus	10090		missing	20	WGS	METAGENOMIC	pubmed_metagenom_b2	35400171	Murine Gut Microbiome Meta-analysis Reveals Alterations in Carbohydrate Metabolism in Response to Aging.	10.1128/msystems.01248-21	mSystems	2022.0	You X	Charles JF	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Paper title: 'Murine Gut Microbiome Meta-analysis...'; ENA study title: 'mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'feces-old-1' through 'feces-old-7'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA731974	Mus musculus	10090		China:Tianjin	12	WGS	GENOMIC	pubmed_metagenom_b2	35293806	Positive Interventional Effect of Engineered Butyrate-Producing Bacteria on Metabolic Disorders and Intestinal Flora Disruption in Obese Mice.	10.1128/spectrum.01147-21	Microbiology spectrum	2022.0	Wang L	Huang H	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'mouse fecal'; library_strategy: 'WGS'; library_source: 'GENOMIC'
PRJNA494875	Sus scrofa	9823		Canada: Edmonton	67	WGS	METAGENOMIC	pubmed_metagenom_b2	35171009	A Bacterial Genome and Culture Collection of Gut Microbial in Weanling Piglet.	10.1128/spectrum.02417-21	Microbiology spectrum	2022.0	Dong B	Zou Y	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	high	explicit	Isolation source: 'Feces_Pig19; Feces_Pig21; Feces_Pig6; feces pig1 day 0 after weanning; feces pig1 day 21 after weanning; feces pig1 day 7 after weanning; feces pig12 day 14 after weanning; feces pig12 day 21 after weanning'; Biome label: 'gut metagenome'; Library source: 'METAGENOMIC'; Library strategy: 'WGS'; Host: Sus scrofa (pig).
PRJNA787384	Rhinopithecus bieti	61621		China: Yunnan	24	WGS	METAGENOMIC	pubmed_metagenom_b2	35140888	Functional convergence of Yunnan snub-nosed monkey and bamboo-eating panda gut microbiomes revealing the driving by dietary flexibility on mammal gut microbiome.	10.1016/j.csbj.2022.01.011	Computational and structural biotechnology journal	2022.0	Xia W	Li D	YES	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus bieti	high	explicit	Biome label(s): 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'gut microbiomes'
PRJNA718160	Rhinopithecus roxellana	61622		China: Beijing	28	WGS	METAGENOMIC	pubmed_metagenom_b2	34950117	Captivity Influences the Gut Microbiome of Rhinopithecus roxellana.	10.3389/fmicb.2021.763022	Frontiers in microbiology	2021.0	Wang X	Li M	YES	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus roxellana	high	explicit	ENA study title: 'MIMS Environmental/Metagenome sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA699677	Bombus terrestris	30195		China: Jiangsu	29	OTHER	METAGENOMIC	pubmed_metagenom_b2	34824201	Gut microbiome drives individual memory variation in bumblebees.	10.1038/s41467-021-26833-4	Nature communications	2021.0	Li L	Zhao W	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	high	explicit	Isolation source: 'hindgut'; Sample title: 'Bumblebee hindgut'; ENA study title: 'Bumblebee hindgut'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'
PRJNA408020	avian			China	130	WGS	GENOMIC	pubmed_metagenom_b2	34795385	Metagenome-assembled genomes and gene catalog from the chicken gut microbiome aid in deciphering antibiotic resistomes.	10.1038/s42003-021-02827-2	Communications biology	2021.0	Feng Y	Hu Y	YES								medium	inferred	Paper title explicitly states 'chicken gut microbiome'; library_strategy is 'WGS'; library_source is 'GENOMIC' (metagenomic); sample biome is 'bird metagenome'.
PRJNA473429	Mus	10088		Spain: Barcelona	48	WGS	METAGENOMIC	pubmed_metagenom_b2	34763597	An integrated workflow for enhanced taxonomic and functional coverage of the mouse fecal metaproteome.	10.1080/19490976.2021.1994836	Gut microbes	2021.0	Nalpas N	Macek B	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae		Mus	high	explicit	Paper title: 'An integrated workflow for enhanced taxonomic and functional coverage of the mouse fecal metaproteome.' Biome label: 'mouse gut metagenome'. Library_source: 'METAGENOMIC'. Library_strategy: 'WGS'.
PRJNA671745	sediment metagenome			China:Jiangsu	44	WGS	METAGENOMIC	pubmed_metagenom_b2	34733252	Metagenomics Analysis Reveals Compositional and Functional Differences in the Gut Microbiota of Red Swamp Crayfish, Procambarus clarkii, Grown on Two Different Culture Environments.	10.3389/fmicb.2021.735190	Frontiers in microbiology	2021.0	Chen X	Chen J	YES								high	explicit	Isolation source(s) include 'gut of red swamp crayfish'; library_strategy: WGS; library_source: METAGENOMIC; ENA biome label includes 'invertebrate gut metagenome'; paper title explicitly states 'Gut Microbiota'
PRJNA729899	Mus musculus	10090		China: Jiangxi	31	WGS	GENOMIC	pubmed_metagenom_b2	34707567	Integrated Metagenomics and Metabolomics to Reveal the Effects of Policosanol on Modulating the Gut Microbiota and Lipid Metabolism in Hyperlipidemic C57BL/6 Mice.	10.3389/fendo.2021.722055	Frontiers in endocrinology	2021.0	Zhai Z	Ouyang K	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'Cecal contents'; Biome label: 'mouse gut metagenome'; Library strategy: 'WGS'; Library source: 'GENOMIC'
PRJEB44507	Homo sapiens				4	WGS	METAGENOMIC	pubmed_metagenom_b2	34648730	Hallstatt miners consumed blue cheese and beer during the Iron Age and retained a non-Westernized gut microbiome until the Baroque period.	10.1016/j.cub.2021.09.031	Current biology : CB	2021.0	Maixner F	Kowarik K	YES								high	explicit	Sample titles: 'Human paleofeces, Eurac ID 2604; Human paleofeces, Eurac ID 2610; Human paleofeces, Eurac ID 2611; Human paleofeces, Eurac ID 2612'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA728669	Hermetia illucens			Kenya	1	WGA	GENOMIC	pubmed_metagenom_b2	34630342	A Molecular Survey of Bacterial Species in the Guts of Black Soldier Fly Larvae (Hermetia illucens) Reared on Two Urban Organic Waste Streams in Kenya.	10.3389/fmicb.2021.687103	Frontiers in microbiology	2021.0	Shumo M	Borgemeister C	YES								high	explicit	Paper title: 'A Molecular Survey of Bacterial Species in the Guts of Black Soldier Fly Larvae (Hermetia illucens)'; library_source: GENOMIC with library_strategy: WGA (whole genome amplification, a shotgun approach for metagenomic community DNA)
PRJNA722063	horse metagenome			China: Xinjiang	6	WGS	GENOMIC	pubmed_metagenom_b2	34490397	Metagenomic Analysis of Fecal Archaea, Bacteria, Eukaryota, and Virus in Przewalski's Horses Following Anthelmintic Treatment.	10.3389/fvets.2021.708512	Frontiers in veterinary science	2021.0	Hu D	Mok KM	YES								high	explicit	Paper title explicitly states 'Fecal' analysis; Isolation source explicitly lists 'Fecal1; Fecal2; Fecal3; Fecal4; Fecal5; Fecal6'; library_strategy is 'WGS'; library_source is 'GENOMIC' (metagenomic community DNA).
PRJEB41222					60	WGS	METAGENOMIC	pubmed_metagenom_b2	34332648	The link between broiler flock heterogeneity and cecal microbiome composition.	10.1186/s42523-021-00110-7	Animal microbiome	2021.0	Lundberg R	Sandvang D	YES								high	explicit	Paper title: 'The link between broiler flock heterogeneity and cecal microbiome composition.' Library_strategy: WGS. Library_source: METAGENOMIC.
PRJNA706869	Capra hircus	9925		missing	18	OTHER	METAGENOMIC	pubmed_metagenom_b2	34163442	A Metagenomic Insight Into the Hindgut Microbiota and Their Metabolites for Dairy Goats Fed Different Rumen Degradable Starch.	10.3389/fmicb.2021.651631	Frontiers in microbiology	2021.0	Han X	Yao J	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra hircus	high	explicit	Paper title explicitly states 'Hindgut Microbiota'; isolation source explicitly listed as 'cecum' (hindgut component); ENA study title and biome label both state 'gut metagenome'; library_source is 'METAGENOMIC'; host is Capra hircus (dairy goat, an animal).
PRJEB41306	insect gut metagenome			Spain	75	WGS	METAGENOMIC	pubmed_metagenom_b2	33975971	Interkingdom Gut Microbiome and Resistome of the Cockroach Blattella germanica.	10.1128/mSystems.01213-20	mSystems	2021.0	Domínguez-Santos R	Gil R	YES								high	explicit	Paper title: 'Interkingdom Gut Microbiome and Resistome of the Cockroach Blattella germanica'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA559386	Mus musculus	10090		USA: New York, NY	2	WGA	GENOMIC	pubmed_metagenom_b2	33820988	Discovering multiple types of DNA methylation from bacteria and microbiome using nanopore sequencing.	10.1038/s41592-021-01109-3	Nature methods	2021.0	Tourancheau A	Fang G	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'fecal pellets; fecal pellets after Tylosin treatment'; ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; library_source: 'GENOMIC' (metagenomic community DNA); library_strategy: 'WGA' (whole-genome amplification, shotgun approach)
PRJNA699440	Mus musculus	10090		missing	1	WGS	METAGENOMIC	pubmed_metagenom_b2	33816333	Neonatal Milk Fat Globule Membrane Supplementation During Breastfeeding Ameliorates the Deleterious Effects of Maternal High-Fat Diet on Metabolism and Modulates Gut Microbiota in Adult Mice Offspring in a Sex-Specific Way.	10.3389/fcimb.2021.621957	Frontiers in cellular and infection microbiology	2021.0	Ye L	Dong Y	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'feces'; ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA663847	Sprague Dawley rat			missing	12	OTHER	METAGENOMIC	pubmed_metagenom_b2	33602895	Antidepressants fluoxetine and amitriptyline induce alterations in intestinal microbiota and gut microbiome function in rats exposed to chronic unpredictable mild stress.	10.1038/s41398-021-01254-5	Translational psychiatry	2021.0	Zhang W	Yan H	YES								high	explicit	Isolation source: 'fecal sample'; ENA study title: 'faece'; Biome label: 'rat gut metagenome'; library_source: 'METAGENOMIC'; Paper title explicitly mentions 'intestinal microbiota and gut microbiome'
PRJNA605640	Mouse				12	WGS	GENOMIC	pubmed_metagenom_b2	33509277	The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut.	10.1186/s40168-020-00980-0	Microbiome	2021.0	Arnold JW	Azcarate-Peril MA	YES								high	explicit	Biome label: 'mouse gut metagenome'; Paper title: 'The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut'; library_strategy: 'WGS'; library_source: 'GENOMIC'
PRJNA647157	tibetan pig			China: Xizang	11	WGS	METAGENOMIC	pubmed_metagenom_b2	33424798	Characterization of Metagenome-Assembled Genomes and Carbohydrate-Degrading Genes in the Gut Microbiota of Tibetan Pig.	10.3389/fmicb.2020.595066	Frontiers in microbiology	2020.0	Zhou S	Suolang S	YES								high	explicit	Paper title: 'Characterization of Metagenome-Assembled Genomes and Carbohydrate-Degrading Genes in the Gut Microbiota of Tibetan Pig'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'fresh feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA667247	Bos taurus	9913		USA: Auburn, AL	36	WGA	METAGENOMIC	pubmed_metagenom_b2	33240966	In vivo Microbiome Profiling of the Luminal and Mucosal Surface of the Duodenum Using a Cannulated Yearling Bovine Model.	10.3389/fvets.2020.601874	Frontiers in veterinary science	2020.0	Stockler RM	Walz PH	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	Isolation source(s): 'Duodenum Biopsy; Duodenum Lumen'; library_source: 'METAGENOMIC'; library_strategy: 'WGA' (shotgun metagenomics); host organism: 'Bos taurus'
PRJEB23642	Balaenoptera acutorostrata				12	WGS	METAGENOMIC	pubmed_metagenom_b2	33144315	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	10.1128/mSystems.01045-20	mSystems	2020.0	Youngblut ND	Ley RE	YES								high	explicit	ENA study title and sample titles explicitly list gut anatomical sites: 'Jejunum', 'Ileum', 'Colon'; library_source: METAGENOMIC; library_strategy: WGS; host organism is Balaenoptera acutorostrata (minke whale, an animal).
PRJNA316560	Anser indicus	8846		China: Qinghai	2	WGS	METAGENOMIC	pubmed_metagenom_b2	33144315	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	10.1128/mSystems.01045-20	mSystems	2020.0	Youngblut ND	Ley RE	YES	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser indicus	high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Anser indicus' (a bird)
PRJNA316570	Anser indicus	8846		China: Qinghai	2	WGS	METAGENOMIC	pubmed_metagenom_b2	33144315	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	10.1128/mSystems.01045-20	mSystems	2020.0	Youngblut ND	Ley RE	YES	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser indicus	high	explicit	ENA study title: 'wild Bar-headed goose gut metagenome_1; wild Bar-headed goose gut metagenome_2'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA624740	Bos grunniens	30521		China: Tibet	5	WGS	METAGENOMIC	pubmed_metagenom_b2	33036549	Metagenomic insights into the diversity of carbohydrate-degrading enzymes in the yak fecal microbial community.	10.1186/s12866-020-01993-3	BMC microbiology	2020.0	Gong G	Suolang S	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos grunniens	high	explicit	Isolation source: 'fecal sample 1; fecal sample 2; fecal sample 3; fecal sample 4; fecal sample 5'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title: 'Metagenomic insights into the diversity of carbohydrate-degrading enzymes in the yak fecal microbial community'; ENA study title and biome label both reference 'gut metagenome'.
PRJEB38000				United Kingdom	94	WGS	METAGENOMIC	pubmed_metagenom_b2	32994293	Strain-Level Analysis of Bifidobacterium spp. from Gut Microbiomes of Adults with Differing Lactase Persistence Genotypes.	10.1128/mSystems.00911-20	mSystems	2020.0	Schmidt V	Ley RE	YES								medium	inferred	Paper title explicitly states 'Gut Microbiomes of Adults'; library_source='METAGENOMIC'; library_strategy='WGS'
PRJEB32496	Bos	9903		South Korea	77	WGS	METAGENOMIC	pubmed_metagenom_b2	32369165	Antibiotic resistomes discovered in the gut microbiomes of Korean swine and cattle.	10.1093/gigascience/giaa043	GigaScience	2020.0	Lim SK	Rho M	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae		Bos	high	explicit	Paper title: 'Antibiotic resistomes discovered in the gut microbiomes of Korean swine and cattle'; ENA study title: 'Animal gut microbiome'; Biome label: 'gut metagenome'; Sample title: 'Animal gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJEB31051	insect gut metagenome			Spain	113	WGS	METAGENOMIC	pubmed_metagenom_b2	32269557	Unraveling Assemblage, Functions and Stability of the Gut Microbiota of Blattella germanica by Antibiotic Treatment.	10.3389/fmicb.2020.00487	Frontiers in microbiology	2020.0	Domínguez-Santos R	Latorre A	YES								high	explicit	Paper title explicitly states 'Gut Microbiota'; biome label states 'insect gut metagenome'; library_source=METAGENOMIC; library_strategy=WGS
PRJNA478457	mouse			USA	49	WGS	GENOMIC	pubmed_metagenom_b2	32228448	The effect of antibiotics on the gut microbiome: a metagenomics analysis of microbial shift and gut antibiotic resistance in antibiotic treated mice.	10.1186/s12864-020-6665-2	BMC genomics	2020.0	Xu L	Rouse R	YES								high	explicit	ENA study title: 'mouse gut metagenome'; Biome label: 'gut metagenome'; library_strategy: 'WGS'; library_source: 'GENOMIC'
PRJEB31742				China	4	WGS	METAGENOMIC	pubmed_metagenom_b2	31848308	Characterization of the Pig Gut Microbiome and Antibiotic Resistome in Industrialized Feedlots in China.	10.1128/mSystems.00206-19	mSystems	2019.0	Wang C	Liu S	YES								high	explicit	Paper title: 'Characterization of the Pig Gut Microbiome and Antibiotic Resistome in Industrialized Feedlots in China'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA542645	Mus musculus	10090		France:Paris	1	Hi-C	GENOMIC	pubmed_metagenom_b2	31481973	MetaTOR: A Computational Pipeline to Recover High-Quality Metagenomic Bins From Mammalian Gut Proximity-Ligation (meta3C) Libraries.	10.3389/fgene.2019.00753	Frontiers in genetics	2019.0	Baudry L	Marbouty M	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'fecal matter'; Host organism: 'Mus musculus'; Library source: 'GENOMIC' (metagenomic community DNA); Library strategy: 'Hi-C' (shotgun-based proximity-ligation approach for metagenomics)
PRJNA555120	Macaca mulatta	9544		China: Yunnan	12	OTHER	METAGENOMIC	pubmed_metagenom_b2	31426820	The altered gut virome community in rhesus monkeys is correlated with the gut bacterial microbiome and associated metabolites.	10.1186/s12985-019-1211-z	Virology journal	2019.0	Li H	Liu L	YES	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta	high	explicit	Biome label: 'feces metagenome'; Sample titles: 'Invivo Fecal Sample1-12'; ENA study title references 'Fecal Sample'; Paper title: 'gut virome community'; library_source: 'METAGENOMIC'; Host: 'Macaca mulatta' (rhesus monkey).
PRJNA518164	Apostichopus japonicus	307972		China: Weihai	4	WGS	METAGENOMIC	pubmed_metagenom_b2	31214136	Genomic and Metagenomic Insights Into the Microbial Community in the Regenerating Intestine of the Sea Cucumber Apostichopus japonicus.	10.3389/fmicb.2019.01165	Frontiers in microbiology	2019.0	Zhang H	Yang H	YES	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Apostichopus japonicus	high	explicit	Paper title explicitly states 'Microbial Community in the Regenerating Intestine'; library_source: METAGENOMIC; library_strategy: WGS; host organism Apostichopus japonicus (sea cucumber).
PRJNA193472	Macrotermes natalensis	315803			3	WGS	METAGENOMIC	pubmed_metagenom_b2	31092601	Fungiculture in Termites Is Associated with a Mycolytic Gut Bacterial Community.	10.1128/mSphere.00165-19	mSphere	2019.0	Hu H	Poulsen M	YES	Metazoa	Arthropoda	Insecta	Blattodea	Termitidae	Macrotermes	Macrotermes natalensis	high	explicit	ENA study title: 'Generic sample from termite gut metagenome'; Biome label: 'termite gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJEB21490	metagenomes			USA	10	WGS	METAGENOMIC	pubmed_metagenom_b2	30867497	Subchronic low-dose 2,4-D exposure changed plasma acylcarnitine levels and induced gut microbiome perturbations in mice.	10.1038/s41598-019-40776-3	Scientific reports	2019.0	Tu P	Lu K	YES								medium	inferred	Paper title: 'Subchronic low-dose 2,4-D exposure changed plasma acylcarnitine levels and induced gut microbiome perturbations in mice.' library_source: METAGENOMIC, library_strategy: WGS
PRJNA430956	Papio kindae	208091		Zambia	8	WGS	METAGENOMIC	pubmed_metagenom_b2	29963641	Characterization of Wild and Captive Baboon Gut Microbiota and Their Antibiotic Resistomes.	10.1128/mSystems.00016-18	mSystems	2018.0	Tsukayama P	Dantas G	YES	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio kindae	high	explicit	Biome label: 'gut metagenome'; Library source: 'METAGENOMIC'; Library strategy: 'WGS'; Paper title explicitly mentions 'Gut Microbiota'
