study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	abstract	title	classification
PRJNA593263	feces metagenome			USA:Birmingham	30	WGS	ena_only			Feces metagenome	YES_regex
PRJNA1375668	Sus scrofa	9823.0		China:Hunan	24	WGS	ena_only			gut metagenome	YES_regex
PRJNA1193062				USA:Ohio	323	WGS	ena_only			Effects of untreated dairy manure on soil microbiome	YES_regex
PRJNA1082665	canine			USA	767	WGS	pubmed	39394961.0	"1. ISME J. 2024 Jan 8;18(1):wrae201. doi: 10.1093/ismejo/wrae201.

Comprehensive profile of the companion animal gut microbiome integrating 
reference-based and reference-free methods.

Branck T(1)(2)(3), Hu Z(1)(2), Nickols WA(1)(2)(4), Walsh AM(1)(2)(4), Bhosle 
A(1)(2)(4), Short MI(1)(2)(4), Nearing JT(1)(2)(4), Asnicar F(5), McIver 
LJ(1)(2), Maharjan S(1)(2)(4), Rahnavard A(6), Louyakis AS(3), Badri DV(3), 
Brockel C(3), Thompson KN(1)(2)(4), Huttenhower C(1)(2)(4)(7).

Author information:
(1)Department of Biostatistics, Harvard T.H. Chan School of Public Health, 
Boston, MA, United States.
(2)Harvard Chan Microbiome in Public Health Center, Harvard T. H. Chan School of 
Public Health, Boston, MA, United States.
(3)Science and Technology Center, Hill's Pet Nutrition, Inc., Topeka, KS, United 
States.
(4)Infectious Disease and Microbiome Program, Broad Institute of MIT and 
Harvard, Cambridge, MA, United States.
(5)CIBIO Department, University of Trento, Trento, Italy.
(6)Computational Biology Institute, Department of Biostatistics and 
Bioinformatics, Milken Institute School of Public Health, The George Washington 
University, Washington, DC, United States.
(7)Department of Immunology and Infectious Diseases, Harvard T. H. Chan School 
of Public Health, Boston, MA, United States.

The gut microbiome of companion animals is relatively underexplored, despite its 
relevance to animal health, pet owner health, and basic microbial community 
biology. Here, we provide the most comprehensive analysis of the canine and 
feline gut microbiomes to date, incorporating 2639 stool shotgun metagenomes 
(2272 dog and 367 cat) spanning 14 publicly available datasets (n = 730) and 8 
new study populations (n = 1909). These are compared with 238 and 112 baseline 
human gut metagenomes from the Human Microbiome Project 1-II and a traditionally 
living Malagasy cohort, respectively, processed in a manner identical to the 
animal metagenomes. All microbiomes were characterized using reference-based 
taxonomic and functional profiling, as well as de novo assembly yielding 
metagenomic assembled genomes clustered into species-level genome bins. 
Companion animals shared 184 species-level genome bins not found in humans, 
whereas 198 were found in all three hosts. We applied novel methodology to 
distinguish strains of these shared organisms either transferred or unique to 
host species, with phylogenetic patterns suggesting host-specific adaptation of 
microbial lineages. This corresponded with functional divergence of these 
lineages by host (e.g. differences in metabolic and antibiotic resistance genes) 
likely important to companion animal health. This study provides the largest 
resource to date of companion animal gut metagenomes and greatly contributes to 
our understanding of the ""One Health"" concept of a shared microbial environment 
among humans and companion animals, affecting infectious diseases, immune 
response, and specific genetic elements.

© The Author(s) 2024. Published by Oxford University Press on behalf of the 
International Society for Microbial Ecology.

DOI: 10.1093/ismejo/wrae201
PMCID: PMC11523182
PMID: 39394961 [Indexed for MEDLINE]

Conflict of interest statement: T.B., M.I.S., A.L., D.V.B., and C.B. are 
employees of Hill’s Pet Nutrition, Inc. C.H. is on the scientific advisory board 
of Seres Therapeutics, Empress Therapeutics, and Zoe. All other authors declare 
they have no competing interests."	canine and feline gut metagenomic samples Raw sequence reads	YES_regex
PRJEB81106				Israel	794	WGS	ena_only			Simultaneous metagenome-informed metaproteomics of the human gut microbiome, host and dietary exposome uncover functional interactomes in health & IBD	YES_regex
PRJNA908260	domestic Feline			China	8	WGA	pubmed	37428087.0	"1. Microbiol Spectr. 2023 Aug 17;11(4):e0059023. doi: 10.1128/spectrum.00590-23. 
Epub 2023 Jul 10.

Identification of Gut Microbiome and Metabolites Associated with Acute Diarrhea 
in Cats.

Bai H(1), Liu T(1), Wang S(1), Gong W(1), Shen L(1), Zhang S(1), Wang Z(1).

Author information:
(1)Nourse Science Centre for Pet Nutrition, Wuhu, China.

Changes in diet and environment can lead to acute diarrhea in companion animals, 
but the composition and interactions of the gut microbiome during acute diarrhea 
remain unclear. In this multicenter case-control study, we investigated the 
relationship between intestinal flora and acute diarrhea in two breeds of cats. 
Acutely diarrheic American Shorthair (MD, n = 12) and British Shorthair (BD, 
n = 12) and healthy American Shorthair (MH, n = 12) and British Shorthair (BH, 
n = 12) cats were recruited. Gut microbial 16S rRNA sequencing, metagenomic 
sequencing, and untargeted metabolomic analysis were performed. We observed 
significant differences in beta-diversity (Adonis, P < 0.05) across breeds and 
disease state cohorts. Profound differences in gut microbial structure and 
function were found between the two cat breeds. In comparison to healthy British 
Shorthair cats, Prevotella, Providencia, and Sutterella were enriched while 
Blautia, Peptoclostridium, and Tyzzerella were reduced in American Shorthair 
cats. In the case-control cohort, cats with acute diarrhea exhibited an 
increased abundance of Bacteroidota, Prevotella, and Prevotella copri and a 
decreased abundance of Bacilli, Erysipelotrichales, and 
Erysipelatoclostridiaceae (both MD and BD cats, P < 0.05). Metabolomic analysis 
identified significant changes in the BD intestine, affecting 45 metabolic 
pathways. Moreover, using a random forest classifier, we successfully predicted 
the occurrence of acute diarrhea with an area under the curve of 0.95. Our 
findings indicate a distinct gut microbiome profile that is associated with the 
presence of acute diarrhea in cats. However, further investigations using larger 
cohorts of cats with diverse conditions are required to validate and extend 
these findings. IMPORTANCE Acute diarrhea is common in cats, and our 
understanding of the gut microbiome variations across breeds and disease states 
remains unclear. We investigated the gut microbiome of two cat breeds (British 
Shorthair and American Shorthair) with acute diarrhea. Our study revealed 
significant effects of breeds and disease states on the structure and function 
of the gut microbiota in cats. These findings emphasize the need to consider 
breed-related factors in animal nutrition and research models. Additionally, we 
observed an altered gut metabolome in cats with acute diarrhea, closely linked 
to changes in bacterial genera. We identified a panel of microbial biomarkers 
with high diagnostic accuracy for feline acute diarrhea. These findings provide 
novel insights into the diagnosis, classification, and treatment of feline 
gastrointestinal diseases.

DOI: 10.1128/spectrum.00590-23
PMCID: PMC10434016
PMID: 37428087 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."	Domestic cat stool sample	YES_regex
PRJNA601162	Sus scrofa domesticus	9825.0		USA: Ohio	62	WGS	pubmed	36346230.0	"1. Microbiol Spectr. 2022 Dec 21;10(6):e0250622. doi: 10.1128/spectrum.02506-22. 
Epub 2022 Nov 8.

Short-Term Tomato Consumption Alters the Pig Gut Microbiome toward a More 
Favorable Profile.

Goggans ML(1), Bilbrey EA(2), Quiroz-Moreno CD(2), Francis DM(3), Jacobi SK(4), 
Kovac J(5)(6), Cooperstone JL(1)(2).

Author information:
(1)Food Science and Technology, The Ohio State University, Columbus, Ohio, USA.
(2)Horticulture and Crop Science, The Ohio State University, Columbus, Ohio, 
USA.
(3)Horticulture and Crop Science, The Ohio State University, Wooster, Ohio, USA.
(4)Animal Sciences, The Ohio State University, Columbus, Ohio, USA.
(5)Food Science, The Pennsylvania State University, University Park, 
Pennsylvania, USA.
(6)Microbiome Center, Huck Institutes of the Life Sciences, The Pennsylvania 
State University, University Park, Pennsylvania, USA.

Diets rich in fruits and vegetables have been shown to exert positive effects on 
the gut microbiome. However, little is known about the specific effect of 
individual fruits or vegetables on gut microbe profiles. This study aims to 
elucidate the effects of tomato consumption on the gut microbiome, as tomatoes 
account for 22% of vegetable consumption in Western diets, and their consumption 
has been associated with positive health outcomes. Using piglets as a 
physiologically relevant model of human metabolism, 20 animals were assigned to 
either a control or a tomato powder-supplemented diet (both macronutrient 
matched and isocaloric) for 14 days. The microbiome was sampled rectally at 
three time points: day 0 (baseline), day 7 (midpoint), and day 14 (end of 
study). DNA was sequenced using shotgun metagenomics, and reads were annotated 
using MG-RAST. There were no differences in body weight or feed intake between 
our two treatment groups. There was a microbial shift which included a higher 
ratio of Bacteroidota to Bacillota (formerly known as Bacteroidetes and 
Firmicutes, respectively) and higher alpha-diversity in tomato-fed animals, 
indicating a shift to a more desirable phenotype. Analyses at both the phylum 
and genus levels showed global microbiome profile changes (permutational 
multivariate analysis of variance [PERMANOVA], P ≤ 0.05) over time but not with 
tomato consumption. These data suggest that short-term tomato consumption can 
beneficially influence the gut microbial profile, warranting further 
investigation in humans. IMPORTANCE The composition of the microorganisms in the 
gut is a contributor to overall health, prompting the development of strategies 
to alter the microbiome composition. Studies have investigated the role of the 
diet on the microbiome, as it is a major modifiable risk factor contributing to 
health; however, little is known about the causal effects of consumption of 
specific foods on the gut microbiota. A more complete understanding of how 
individual foods impact the microbiome will enable more evidence-based dietary 
recommendations for long-term health. Tomatoes are of interest as the most 
consumed nonstarchy vegetable and a common source of nutrients and 
phytochemicals across the world. This study aimed to elucidate the effect of 
short-term tomato consumption on the microbiome, using piglets as a 
physiologically relevant model to humans. We found that tomato consumption can 
positively affect the gut microbial profile, which warrants further 
investigation in humans.

DOI: 10.1128/spectrum.02506-22
PMCID: PMC9769997
PMID: 36346230 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."	sample of a gut microbiome metagenomic sample Metagenome	YES_regex
PRJNA1242249	Moschus berezovskii	68408.0		China:Hunan	24	WGS	pubmed	40646853.0	"1. Animals (Basel). 2025 Jul 2;15(13):1954. doi: 10.3390/ani15131954.

Impacts of Captive Domestication and Geographical Divergence on the Gut 
Microbiome of Endangered Forest Musk Deer.

Liu H(1), Xiao L(1), Liu Z(1), Deng Y(1), Zhu J(1), Yang C(2), Liu Q(1), Tian 
D(1), Cui X(1), Peng J(1).

Author information:
(1)School of Life and Health Sciences, Hunan University of Science and 
Technology, Xiangtan 411201, China.
(2)Animal Biology Key Laboratory of Chongqing Education Commission of China, 
Chongqing Key Laboratory of Conservation and Utilization of Freshwater Fishes, 
College of Life Sciences, Chongqing Normal University, Chongqing 401331, China.

Forest musk deer (Moschus berezovskii Flerov), a critically endangered ruminant 
species, faces extinction risks, with captive populations further threatened by 
prevalent digestive and immune disorders. This study utilized comparative 
metagenomic sequencing to assess intestinal microbiota structure and functional 
profiles between wild populations in Chongqing and Hunan and captive 
individuals. Wild populations exhibited a Pseudomonadota-dominated gut 
microbiota (significantly more abundant than in captive counterparts), enriched 
with lignin-degrading genera Novosphingobium and Acinetobacter. In contrast, the 
captive group demonstrated increased abundances of Bacillota/Bacteroidota, 
alongside abnormal proliferation of Escherichia and Clostridium. Both alpha and 
beta diversity analyses confirmed significant compositional divergences among 
the three groups, with wild populations maintaining higher diversity than 
captive populations. Notably, while substantial disparities in microbial 
abundance existed between wild populations (attributed to habitat vegetation 
differences), core microbial diversity and carbohydrate metabolic functions 
exhibited convergence. Functional analyses marked divergences in metabolic 
pathways: Captive microbiota showed enrichment in translation and glycan 
metabolism pathways, whereas wild populations displayed pronounced enrichment in 
immune regulation and environmental sensing pathways. These findings establish a 
theoretical foundation for optimizing wild population conservation strategies 
and developing science-based captive management protocols.

DOI: 10.3390/ani15131954
PMCID: PMC12248866
PMID: 40646853

Conflict of interest statement: The authors declare no conflicts of interest."	Study on the Differences in Gut Microbiota Diversity among Wild Forest Musk Deer in Hunan and Chongqing and Captive Forest Musk Deer	YES_regex
PRJNA1218713	Sus scrofa	9823.0		Spain	172	WGS	pubmed	41618383.0	"1. Vet Res. 2026 Jan 30;57(1):25. doi: 10.1186/s13567-025-01646-1.

From predisposition to recovery: field evidence of interactions between the gut 
microbiota and Brachyspira hyodysenteriae infection.

Pérez-Pérez L(1)(2), Arguello H(3)(4), Cobo-Díaz JF(5), Galisteo C(1)(2), Puente 
H(1)(6), Gómez-Martínez S(1)(2), Carvajal A(1)(2).

Author information:
(1)Departamento de Sanidad Animal, Facultad de Veterinaria, Universidad de León, 
León, Spain.
(2)INDEGSAL, Universidad de León, León, Spain.
(3)Departamento de Sanidad Animal, Facultad de Veterinaria, Universidad de León, 
León, Spain. hector.arguello@unileon.es.
(4)INDEGSAL, Universidad de León, León, Spain. hector.arguello@unileon.es.
(5)Departamento de Higiene y Tecnología de los alimentos, Facultad de 
Veterinaria, Universidad de León, León, Spain.
(6)Departamento de Anatomía y Anatomía Patológica Comparadas y Toxicología, 
Universidad de Córdoba, Córdoba, Spain.

Restrictions on antibiotics use have increased interest in the gut microbiota 
relationship to host health, particularly in enteric infections. The present 
field study, performed on two farms with endemic swine dysentery (SD) infection, 
characterises the faecal microbiota in 102 faecal samples from 13 diseased and 
13 non-diseased pigs by shotgun metagenomic sequencing. The samples were 
collected during four samplings, which allowed us to monitor the animals before, 
during and after the clinical disease to investigate the role of the gut 
microbiota in disease outcome, assess the impact of infection on microbial 
composition and evaluate the microbiota evolution following recovery. Samples 
collected before disease demonstrated that SD susceptible pigs had lower 
microbial diversity, with significantly lower abundance of Treponema rectale, 
Prevotella spp. or Ruminiclostridium E compared with SD resistant pigs, which 
remained healthy. Marked alterations in microbial species composition and their 
functional profiles were evident during clinical disease. Brachyspira 
hyodysenteriae, Dysosmobacter sp. BX15, Acetivibrio ethanolgignens and 
Mucispirillum sp. 910586745 were significantly increased in abundance, which was 
associated with an increase of functions such as Bacteroides capsular 
polysaccharide transcription antitermination proteins or pterin carbinolamine 
dehydratase. No changes in the microbiota were observed after the disease when 
compared with non-diseased pigs, thus evidencing a restoration of the microbiota 
composition after therapeutic treatment and recovery. The study demonstrates 
that the microbiota may play a relevant role in SD disease outcome and evidences 
the changes that occur during clinical disease do not persist over time after 
pig therapeutic treatment.

© 2025. The Author(s).

DOI: 10.1186/s13567-025-01646-1
PMCID: PMC12857038
PMID: 41618383 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Competing interests: The authors 
declare that they have no competing interests."	Gut microbiota (swine) shotgun sequencing	YES_regex
PRJNA453374	Bos taurus	9913.0		USA:Colorado	28	WGS	pubmed	30796295.0	"1. Sci Rep. 2019 Feb 22;9(1):2559. doi: 10.1038/s41598-019-39181-7.

Effects of a Saccharomyces cerevisiae fermentation product on liver abscesses, 
fecal microbiome, and resistome in feedlot cattle raised without antibiotics.

Huebner KL(1), Martin JN(2), Weissend CJ(2), Holzer KL(2), Parker JK(1), Lakin 
SM(3), Doster E(3), Weinroth MD(2), Abdo Z(3), Woerner DR(2), Metcalf JL(2), 
Geornaras I(2), Bryant TC(4), Morley PS(1)(3), Belk KE(5).

Author information:
(1)Department of Clinical Sciences, Colorado State University, Fort Collins, 
Colorado, USA.
(2)Department of Animal Sciences, Colorado State University, Fort Collins, 
Colorado, USA.
(3)Department of Microbiology, Immunology, and Pathology, Colorado State 
University, Fort Collins, Colorado, USA.
(4)Five Rivers Cattle Feeding, LLC, Kersey, Colorado, USA.
(5)Department of Animal Sciences, Colorado State University, Fort Collins, 
Colorado, USA. Keith.Belk@colostate.edu.

Liver abscesses in feedlot cattle form secondary to high concentrate feeds and 
rumen acidosis. Antimicrobial drugs are commonly included in cattle feed for 
prevention of liver abscesses, but concerns regarding antimicrobial resistance 
have increased the need for alternative treatments. A block randomized clinical 
trial was conducted to evaluate the effects of a Saccharomyces cerevisiae 
fermentation product (SCFP) on liver abscesses, fecal microbiomes, and 
resistomes in cattle raised without antibiotics in a Colorado feedlot. At 
enrollment, steers (n = 4,689) were sorted, by weight and source, into 2 pens 
comprising a block (n = 14 blocks, 28 pens); pens were randomly allocated to 
either the control group or the treatment group, where the diet was supplemented 
with SCFP. Prior to harvest, composited feces were collected for 
characterization of the microbiome and resistome using 16S rRNA gene and shotgun 
sequencing. At harvest, liver abscess severity was quantified for individual 
cattle. There were no statistical differences detected by treatment group in 
animal health, liver abscess prevalence or severity. Organisms classified to 
phylum, Elusimicrobia were more abundant in the feces of treated cattle, 
however, there were no differences in the resistome by treatment group. Both 
microbiome and resistome varied significantly among enrollment blocks.

DOI: 10.1038/s41598-019-39181-7
PMCID: PMC6385275
PMID: 30796295 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."	Colorado Natural Cattle SCFP Trial	YES_regex
PRJEB88329				South Korea	171	WGS	ena_only			Gut microbiome modulation by Veillonella ratti induces resistance to EAE pathogenesis via microbe-derived metabolites	YES_regex
PRJNA944612	Sus scrofa domesticus	9825.0		USA	720	WGS	ena_only			16S metagenomic analysis of the biogeographic changes associated with Salmonella enterica infection in swine	YES_regex
PRJDB17852	Homo sapiens	9606.0		missing	129	WGS	ena_only			16S rRNA amplicon sequencing of colorectal polyps	YES_regex
PRJNA878467	wildlife			China:Guangzhou	1	WGS	ena_only			Functional metagenomics sequencing reveals wildlife	YES_regex
PRJNA777737	Ochotona curzoniae	130825.0		China:Qinghai	26	WGS	ena_only			the metagenome of plateau pika	YES_regex
PRJNA940065	Mus musculus	10090.0		USA: Pennsylvania	14	WGS	pubmed	37398234.0	"1. bioRxiv [Preprint]. 2023 Nov 3:2023.05.25.542255. doi: 
10.1101/2023.05.25.542255.

Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment 
across populations.

Van Syoc E(1)(2)(3), Nixon MP(4), Silverman JD(3)(4)(5), Luo Y(6), Gonzalez 
FJ(6), Elbere I(7), Klovins J(7), Patterson AD(3)(8), Rogers CJ(9), Ganda 
E(2)(3).

Author information:
(1)Department of Biology, The Pennsylvania State University, University Park, PA 
16802, USA.
(2)Department of Animal Science, The Pennsylvania State University, University 
Park, PA 16802, USA.
(3)One Health Microbiome Center, The Pennsylvania State University, University 
Park, PA 16802, USA.
(4)College of Information Sciences and Technology, The Pennsylvania State 
University, University Park, PA 16802, USA.
(5)Departments of Statistics and Medicine, The Pennsylvania State University, 
University Park, PA 16802, USA.
(6)Center for Cancer Research, National Cancer Institute, National Institutes of 
Health, Bethesda, MD 20892, USA.
(7)Latvian Biomedical Research and Study Center, Riga, Latvia.
(8)Department of Veterinary and Biomedical Sciences, The Pennsylvania State 
University, University Park, PA 16802, USA.
(9)Department of Nutritional Sciences, University of Georgia, Athens, GA 30602, 
USA.

Update in
    mBio. 2024 Jun 12;15(6):e0016924. doi: 10.1128/mbio.00169-24.

The human gut teems with a diverse ecosystem of microbes, yet non-bacterial 
portions of that community are overlooked in studies of metabolic diseases 
firmly linked to gut bacteria. Type 2 diabetes mellitus (T2D) associates with 
compositional shifts in the gut bacterial microbiome and fungal mycobiome, but 
whether T2D and/or pharmaceutical treatments underpin the community change is 
unresolved. To differentiate these effects, we curated a gut mycobiome cohort 
to-date spanning 1,000 human samples across 5 countries and a murine 
experimental model. We use Bayesian multinomial logistic normal models to show 
that metformin and T2D both associate with shifts in the relative abundance of 
distinct gut fungi. T2D associates with shifts in the Saccharomycetes and 
Sordariomycetes fungal classes, while the genera Fusarium and Tetrapisipora most 
consistently associate with metformin treatment. We confirmed the impact of 
metformin on individual gut fungi by administering metformin to healthy mice. 
Thus, metformin and T2D account for subtle, but significant and distinct 
variation in the gut mycobiome across human populations. This work highlights 
for the first time that oral pharmaceuticals can confound associations of gut 
fungi with T2D and warrants the need to consider pharmaceutical interventions in 
investigations of linkages between metabolic diseases and gut microbial 
inhabitants.

DOI: 10.1101/2023.05.25.542255
PMCID: PMC10312434
PMID: 37398234

Conflict of interest statement: Disclosure Statement: The authors report there 
are no competing interests to declare."	Mining metagenomes reveals gut mycobiome alterations associated with metformin and type 2 diabetes mellitus	YES_regex
PRJEB9357	Felis catus			United Kingdom	88	WGS	pubmed	26659594.0	"1. PLoS One. 2015 Dec 14;10(12):e0144881. doi: 10.1371/journal.pone.0144881. 
eCollection 2015.

A Longitudinal Study of the Feline Faecal Microbiome Identifies Changes into 
Early Adulthood Irrespective of Sexual Development.

Deusch O(1), O'Flynn C(1), Colyer A(1), Swanson KS(2)(3)(4), Allaway D(1), 
Morris P(1).

Author information:
(1)WALTHAM Centre for Pet Nutrition, Freeby Lane, Waltham-on-the-Wolds, 
Leicestershire, United Kingdom.
(2)Department of Animal Sciences, University of Illinois, Urbana, Illinois, 
United States of America.
(3)Division of Nutritional Sciences, University of Illinois, Urbana, Illinois, 
United States of America.
(4)Department of Veterinary Clinical Medicine, University of Illinois, Urbana, 
Illinois, United States of America.

Companion animals provide an excellent model for studies of the gut microbiome 
because potential confounders such as diet and environment can be more readily 
controlled for than in humans. Additionally, domestic cats and dogs are 
typically neutered early in life, enabling an investigation into the potential 
effect of sex hormones on the microbiome. In a longitudinal study to investigate 
the potential effects of neutering, neutering age and gender on the gut 
microbiome during growth, the faeces of kittens (16 male, 14 female) were 
sampled at 18, 30 and 42 weeks of age. DNA was shotgun sequenced on the Illumina 
platform and sequence reads were annotated for taxonomy and function by 
comparison to a database of protein coding genes. In a statistical analysis of 
diversity, taxonomy and functional potential of the microbiomes, age was 
identified as the only factor with significant associations. No significant 
effects were detected for gender, neutering, or age when neutered (19 or 31 
weeks). At 18 weeks of age the microbiome was dominated by the genera 
Lactobacillus and Bifidobacterium (35% and 20% average abundance). Structural 
and functional diversity was significantly increased by week 30 but there was no 
further significant increase. At 42 weeks of age the most abundant genera were 
Bacteroides (16%), Prevotella (14%) and Megasphaera (8%). Significant 
differences in functional potential included an enrichment for genes in energy 
metabolism (carbon metabolism and oxidative phosphorylation) and depletion in 
cell motility (flagella and chemotaxis). We conclude that the feline faecal 
microbiome is predominantly determined by age when diet and environment are 
controlled for. We suggest this finding may also be informative for studies of 
the human microbiome, where control over such factors is usually limited.

DOI: 10.1371/journal.pone.0144881
PMCID: PMC4682054
PMID: 26659594 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: The authors of this 
manuscript have the following competing interests: This work was funded by Mars 
Petcare UK, the employer of OD, COF, AC, DA and PM. There are no conflicts of 
interest. Their commercial affiliation does not alter their adherence to PLOS 
ONE policies on sharing data and materials."	A longitudinal study of the feline faecal microbiome identifies changes into early adulthood irrespective of sexual development	YES_regex
PRJNA1173401	Gallus gallus	9031.0		China: nanjing	6	WGS	ena_only			chicken cecal microbiota metagenomic analysis	YES_regex
PRJNA1012496				China:Beijing	12	WGS	pubmed	39080726.0	"1. Virol J. 2024 Jul 30;21(1):169. doi: 10.1186/s12985-024-02412-z.

Viral metagenomics combined with non-targeted serum metabolomics reveals the 
role of enteroviruses in a mouse model of coronary heart disease.

Li X(#)(1), Liu S(#)(2), Wu H(#)(3), Li B(4), Li Y(3), Li R(3), Tang D(5), Zhang 
H(6).

Author information:
(1)Institute of Basic Theory of Traditional Chinese Medicine, China Academy of 
Chinese Medical Sciences, Beijing, China.
(2)Institute of Traditional Chinese Medicine Information, China Academy of 
Chinese Medical Sciences, Beijing, China.
(3)Medical Experimental Research Center, China Academy of Chinese Medical 
Sciences, Beijing, China.
(4)Institute of Chinese Materia Medica, China Academy of Chinese Medical 
Sciences, Beijing, China.
(5)Medical Experimental Research Center, China Academy of Chinese Medical 
Sciences, Beijing, China. tangdanli@merc.ac.cn.
(6)Institute of Basic Theory of Traditional Chinese Medicine, China Academy of 
Chinese Medical Sciences, Beijing, China. hmzhang@icmm.ac.cn.
(#)Contributed equally

BACKGROUND: Coronary heart disease (CHD) is a common cardiovascular disease that 
is associated with altered gut microbiota. Enteroviruses, an essential component 
of the gut microbiome, may play an important role in disease progression. 
However, the relationship between enteroviruses and CHD remains unclear. The 
development of high-throughput sequencing technologies has facilitated research 
on the interconnections between viruses and disease-related metabolites.
METHODS AND RESULTS: Mice were fed a high-fat diet (CHD group) or chow diet 
(Sham group) for 12 weeks, and ligation of the left anterior descending coronary 
artery was performed at the end of week 8. After 4 weeks, all animals were 
euthanised. Subsequently, the animals were evaluated for basic 
haemato-biochemical parameters and cardiac function, and aorta staining was 
performed. Based on enteroviral metagenomics and serum UPLC-MS/MS metabolomics 
analyses, we evaluated the association between enteroviral groups and serum 
metabolites of CHD mouse model. A high-fat diet and coronary ligation enabled 
the establishment of the CHD mouse model. Notably, the enterovirus spectrum of 
the sham group was significantly different from that of the CHD group, with 24 
viral communities of different family and species classification, such as 
Tsarbombavirus, Mingyongvirus, Claudivirus, and Firehammervirus, exhibiting 
significant differences. In addition, 731 Differential metabolites were detected 
in the serum of both groups of mice. Correlation network analysis revealed a 
close relationship between various metabolites related to lipid metabolism and 
different viruses, including Tsarbombavirus, Mingyongvirus, Claudivirus, and 
Firehammervirus.
CONCLUSIONS: An animal model of CHD, characterised by lipid disturbance and 
myocardial ischaemia, was established using a high-fat diet and ligation of the 
left anterior descending branch of the coronary artery. Tsarbombavirus, 
Firehammervirus, Mingyongvirus, and Claudivirus were associated with metabolites 
in the lipid metabolism pathway. The results indicate that Tsarbombavirus may be 
the main genus interacting with CHD-related metabolites in mice. Conclusively, 
the findings of our study provide novel insights into the potential relationship 
enterovirus groups and metabolites associated with CHD.

© 2024. The Author(s).

DOI: 10.1186/s12985-024-02412-z
PMCID: PMC11290145
PMID: 39080726 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."	Fecal metagenomic sequencing of coronary heart disease model mice	YES_regex
PRJEB83270				United Kingdom	26	WGS	ena_only			Impact of age and EP4 on the gut microbiome in intestinal inflammation	YES_regex
PRJNA777422	feces metagenome			China:Nanjing	16	WGS	ena_only			Gut microbiome of C57/BL 6J mice.	YES_regex
PRJEB39500					203	WGS	pubmed	37398234.0	"1. bioRxiv [Preprint]. 2023 Nov 3:2023.05.25.542255. doi: 
10.1101/2023.05.25.542255.

Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment 
across populations.

Van Syoc E(1)(2)(3), Nixon MP(4), Silverman JD(3)(4)(5), Luo Y(6), Gonzalez 
FJ(6), Elbere I(7), Klovins J(7), Patterson AD(3)(8), Rogers CJ(9), Ganda 
E(2)(3).

Author information:
(1)Department of Biology, The Pennsylvania State University, University Park, PA 
16802, USA.
(2)Department of Animal Science, The Pennsylvania State University, University 
Park, PA 16802, USA.
(3)One Health Microbiome Center, The Pennsylvania State University, University 
Park, PA 16802, USA.
(4)College of Information Sciences and Technology, The Pennsylvania State 
University, University Park, PA 16802, USA.
(5)Departments of Statistics and Medicine, The Pennsylvania State University, 
University Park, PA 16802, USA.
(6)Center for Cancer Research, National Cancer Institute, National Institutes of 
Health, Bethesda, MD 20892, USA.
(7)Latvian Biomedical Research and Study Center, Riga, Latvia.
(8)Department of Veterinary and Biomedical Sciences, The Pennsylvania State 
University, University Park, PA 16802, USA.
(9)Department of Nutritional Sciences, University of Georgia, Athens, GA 30602, 
USA.

Update in
    mBio. 2024 Jun 12;15(6):e0016924. doi: 10.1128/mbio.00169-24.

The human gut teems with a diverse ecosystem of microbes, yet non-bacterial 
portions of that community are overlooked in studies of metabolic diseases 
firmly linked to gut bacteria. Type 2 diabetes mellitus (T2D) associates with 
compositional shifts in the gut bacterial microbiome and fungal mycobiome, but 
whether T2D and/or pharmaceutical treatments underpin the community change is 
unresolved. To differentiate these effects, we curated a gut mycobiome cohort 
to-date spanning 1,000 human samples across 5 countries and a murine 
experimental model. We use Bayesian multinomial logistic normal models to show 
that metformin and T2D both associate with shifts in the relative abundance of 
distinct gut fungi. T2D associates with shifts in the Saccharomycetes and 
Sordariomycetes fungal classes, while the genera Fusarium and Tetrapisipora most 
consistently associate with metformin treatment. We confirmed the impact of 
metformin on individual gut fungi by administering metformin to healthy mice. 
Thus, metformin and T2D account for subtle, but significant and distinct 
variation in the gut mycobiome across human populations. This work highlights 
for the first time that oral pharmaceuticals can confound associations of gut 
fungi with T2D and warrants the need to consider pharmaceutical interventions in 
investigations of linkages between metabolic diseases and gut microbial 
inhabitants.

DOI: 10.1101/2023.05.25.542255
PMCID: PMC10312434
PMID: 37398234

Conflict of interest statement: Disclosure Statement: The authors report there 
are no competing interests to declare."	Baseline gut microbiome composition predicts metformin therapy short term efficacy in newly diagnosed type 2 diabetes patients	YES_regex
