study_accession	host_species	host_tax_id	n_samples	library_strategy	library_source	body_site	country	data_source	pmid	paper_title	doi	journal	pub_year	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJNA1214001	rat		17	WGS	METAGENOMIC			pubmed_metagenom_b1	40005052	Alteration of Gastrointestinal Function and the Ameliorative Effects of Hericium erinaceus Polysaccharides in Tail Suspension Rats.	10.3390/nu17040724	Nutrients	2025.0	YES								medium	inferred	Paper title mentions 'Gastrointestinal Function'; library_source=METAGENOMIC; library_strategy=WGS; biome_label=metagenome
PRJNA1140353	Apis mellifera bacteriome		16	WGS	METAGENOMIC		Philippines: La Union	pubmed_metagenom_b1	40003742	Gut Microbiome Diversity in European Honeybees (Apis mellifera L.) from La Union, Northern Luzon, Philippines.	10.3390/insects16020112	Insects	2025.0	YES								medium	inferred	Paper title: 'Gut Microbiome Diversity in European Honeybees'; Biome label: 'bee metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1187318	Mus musculus	10090	40	WGS	METAGENOMIC		Sweden: Gothenburg	pubmed_metagenom_b1	39979617	The beneficial effects of a probiotic mix on bone and lean mass are dependent on the diet in female mice.	10.1038/s41598-025-91056-2	Scientific reports	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'Cecal content'; Biome label: 'mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJEB79769	Felis catus		96	WGS	METAGENOMIC		Denmark	pubmed_metagenom_b1	39953749	Functional Insights Into the Effect of Feralisation on the Gut Microbiota of Cats Worldwide.	10.1111/mec.17695	Molecular ecology	2025.0	YES								medium	inferred	Paper title: 'Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.' Host organism: Felis catus (domestic cat). Library_source: METAGENOMIC. Library_strategy: WGS.
PRJNA816829	rat gut metagenome		9	WGS	METAGENOMIC		China:Beijing	pubmed_metagenom_b1	39951448	Integrated metagenomic and metabolomic analyses of the effects of total flavonoids of Rhizoma Drynariae on reducing ovariectomized-induced osteoporosis by regulating gut microbiota and related metabolites.	10.1371/journal.pone.0317832	PloS one	2025.0	YES								high	explicit	ENA study title: 'TFRD rat feces; model rat feces; sham rat feces'; Biome label: 'rat gut metagenome'; Sample titles: 'TFRD rat feces; model rat feces; sham rat feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1044797	Bombus impatiens	132113	39	WGS	METAGENOMIC		Canada: Ottawa	pubmed_metagenom_b1	39912643	Bumble bee gut microbial community structure differs between species and commercial suppliers, but metabolic potential remains largely consistent.	10.1128/aem.02036-24	Applied and environmental microbiology	2025.0	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus impatiens	high	explicit	Isolation source(s): 'Bumble bee gut'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1033630	Apis mellifera	7460	225	WGS	METAGENOMIC		Canada: BC	pubmed_metagenom_b1	39902954	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	10.1128/mra.00731-24	Microbiology resource announcements	2025.0	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	high	explicit	Isolation source: 'gut microbiome'; Library strategy: 'WGS'; Library source: 'METAGENOMIC'; Paper title explicitly mentions 'Gut microbiome metagenomic sequences'
PRJNA1124990	Apis mellifera	7460	60	WGS	METAGENOMIC		Canada: BC	pubmed_metagenom_b1	39902954	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	10.1128/mra.00731-24	Microbiology resource announcements	2025.0	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	high	explicit	Isolation source: 'gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'Gut microbiome metagenomic sequences'
PRJNA999720	Apis mellifera	7460	120	WGS	METAGENOMIC		Canada: BC	pubmed_metagenom_b1	39902954	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	10.1128/mra.00731-24	Microbiology resource announcements	2025.0	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	high	explicit	Isolation source: 'gut microbiome'; Paper title: 'Gut microbiome metagenomic sequences'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'
PRJNA1130047	Mus musculus		8	WGS	METAGENOMIC		USA: San Antonio	pubmed_metagenom_b1	39841201	Faecalibacterium prausnitzii regulates carbohydrate metabolic functions of the gut microbiome in C57BL/6 mice.	10.1080/19490976.2025.2455503	Gut microbes	2025.0	YES								high	explicit	Paper title explicitly states 'gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism is Mus musculus (mouse)
PRJEB43192	Gallus gallus	9031	999	WGS	GENOMIC	Distal gut content	Spain	pubmed_metagenom_b1	39797569	HoloFood Data Portal: holo-omic datasets for analysing host-microbiota interactions in animal production.	10.1093/database/baae112	Database : the journal of biological databases and curation	2025.0	YES	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	high	explicit	Host body site explicitly lists: 'Caecum content; Caecum mucosa; Distal gut content; Ileum content; Ileum mucosa'. Biome labels include 'chicken gut metagenome; fish gut metagenome'. Library_strategy: WGS. Library_source: GENOMIC (metagenomic community DNA). Host organisms: Gallus gallus (chicken) and Salmo salar (salmon).
PRJNA1108898	Trimeresurus stejnegeri	39682	1	WGS	METAGENOMIC		China	pubmed_metagenom_b1	39691431	Differences in Gut Microbial Composition and Characteristics Among Three Populations of the Bamboo Pitviper (Viridovipera stejnegeri).	10.1002/ece3.70742	Ecology and evolution	2024.0	YES	Metazoa	Chordata	Lepidosauria	Squamata	Viperidae	Trimeresurus	Trimeresurus stejnegeri	medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.' Library_source: METAGENOMIC. Library_strategy: WGS. Host organism: Trimeresurus stejnegeri (a snake). Host body site field is empty.
PRJNA1108923	Trimeresurus stejnegeri	39682	13	WGS	METAGENOMIC		China	pubmed_metagenom_b1	39691431	Differences in Gut Microbial Composition and Characteristics Among Three Populations of the Bamboo Pitviper (Viridovipera stejnegeri).	10.1002/ece3.70742	Ecology and evolution	2024.0	YES	Metazoa	Chordata	Lepidosauria	Squamata	Viperidae	Trimeresurus	Trimeresurus stejnegeri	medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; ENA study title: 'Metagenome or environmental sample from snake metagenome'; library_source: METAGENOMIC; library_strategy: WGS; Host organism: Trimeresurus stejnegeri (a snake species)
PRJNA1180206	Mus musculus	10090	30	WGS	METAGENOMIC		China: Jiangsu	pubmed_metagenom_b1	39628383	Gut microbiota metabolism of branched-chain amino acids and their metabolites can improve the physiological function of aging mice.	10.1111/acel.14434	Aging cell	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'stool'; Biome label: 'mouse gut metagenome'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'
PRJNA1102166	Coilia nasus		1	WGS	METAGENOMIC			pubmed_metagenom_b1	39596262	Probiotics Enhance Coilia nasus Growth Performance and Nutritional Value by Regulating Glucolipid Metabolism via the Gut-Liver Axis.	10.3390/ijms252212196	International journal of molecular sciences	2024.0	YES								medium	inferred	Paper title states 'Probiotics Enhance Coilia nasus Growth Performance...by Regulating Glucolipid Metabolism via the Gut-Liver Axis'; library_source='METAGENOMIC'; library_strategy='WGS'
PRJNA1165944	Bos taurus	9913	8	WGS	METAGENOMIC		China: Hohhot	pubmed_metagenom_b1	39592704	Increased rumen Prevotella enhances BCAA synthesis, leading to synergistically increased skeletal muscle in myostatin-knockout cattle.	10.1038/s42003-024-07252-9	Communications biology	2024.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	Isolation source: 'Rumen fluid'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Bos taurus'
PRJNA560329	Labiotermes labralis	370423	589	WGS	METAGENOMIC		French Guiana: Petit-Saut	pubmed_metagenom_b1	39407345	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.	10.1186/s40168-024-01917-7	Microbiome	2024.0	YES	Metazoa	Arthropoda	Insecta	Blattodea	Termitidae	Labiotermes	Labiotermes labralis	high	explicit	Isolation source(s) explicitly state 'P1 gut compartment', 'P3 gut compartment', 'P4 gut compartment', 'P5 gut compartment', and 'midgut'; library_source: METAGENOMIC; library_strategy: WGS; host organisms are termites (animals); paper title confirms 'termite gut'
PRJNA732531	Glyptotermes sp.	90059	48	WGS	METAGENOMIC		Cameroon: Ebogo II, Mbalmayo	pubmed_metagenom_b1	39407345	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.	10.1186/s40168-024-01917-7	Microbiome	2024.0	YES	Metazoa	Arthropoda	Insecta	Blattodea	Kalotermitidae	Glyptotermes	Glyptotermes sp.	high	explicit	ENA study titles explicitly state 'Termite gut metagenome'; sample titles explicitly state 'Termite gut metagenome'; isolation_source explicitly states 'termite gut'; library_source: METAGENOMIC; library_strategy: WGS
PRJEB73709			1	WGS	METAGENOMIC		Australia	pubmed_metagenom_b1	39340212	Dietary fiber intake impacts gut bacterial and viral populations in a hypertensive mouse model.	10.1080/19490976.2024.2407047	Gut microbes	2024.0	YES								high	explicit	Biome label: 'mouse gut metagenome'; Paper title: 'Dietary fiber intake impacts gut bacterial and viral populations in a hypertensive mouse model'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1151203	Semnopithecus schistaceus	2804203	30	WGS	METAGENOMIC		China:Tibet	pubmed_metagenom_b1	39296299	Geographic and environmental impacts on gut microbiome in Himalayan langurs (Semnopithecus schistaceus) and Xizang macaques (Macaca mulatta vestita).	10.3389/fmicb.2024.1452101	Frontiers in microbiology	2024.0	YES	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	Semnopithecus schistaceus	high	explicit	ENA study title: 'MIMS Environmental/Metagenome sample from feces metagenome'; Biome label: 'feces metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1123873	Enterococcus casseliflavus		15	WGS	METAGENOMIC		China:Guizhou	pubmed_metagenom_b1	39256682	Metagenomic profiling of gut microbiota in Fall Armyworm (Spodoptera frugiperda) larvae fed on different host plants.	10.1186/s12866-024-03481-4	BMC microbiology	2024.0	YES								high	explicit	isolation_source='whole gut'; library_source='METAGENOMIC'; library_strategy='WGS'; paper title explicitly states 'gut microbiota in Fall Armyworm'
PRJNA1031700	Mus musculus	10090	32	OTHER	METAGENOMIC		missing	pubmed_metagenom_b1	39180723	Gut microbiota dysbiosis deteriorates immunoregulatory effects of tryptophan via colonic indole and LBP/HTR2B-mediated macrophage function.	10.1093/ismejo/wrae166	The ISME journal	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'mouse gut metagenome'; Isolation source: 'colonic content from Mus musculus' and 'feces from Mus musculus'; library_source: 'METAGENOMIC'; library_strategy: 'OTHER' (not amplicon)
PRJNA1135459	Mus musculus	10090	18	WGS	METAGENOMIC		China: Guangdong	pubmed_metagenom_b1	39170628	Assessment of the potential risks in SD rats gavaged with genetically modified yeast containing the cp4-epsps gene.	10.3389/fvets.2024.1411520	Frontiers in veterinary science	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'mouse gut metagenome'; Sample title: 'Metagenome or environmental sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Mus musculus'
PRJNA952227	Mus musculus	10090	28	WGS	METAGENOMIC		USA	pubmed_metagenom_b1	39140734	Effects of Early Life Exposures to the Aryl Hydrocarbon Receptor Ligand TCDF on Gut Microbiota and Host Metabolic Homeostasis in C57BL/6J Mice.	10.1289/EHP13356	Environmental health perspectives	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label 'mouse gut metagenome'; Paper title explicitly states 'Gut Microbiota'; library_strategy 'WGS'; library_source 'METAGENOMIC'; Host organism 'Mus musculus'
PRJNA1108955	Lycodon rufozonatus	74361	21	WGS	METAGENOMIC		missing	pubmed_metagenom_b1	42388191	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	10.1002/ece3.73902	Ecology and evolution	2026.0	YES	Metazoa	Chordata	Lepidosauria	Squamata	Colubridae	Lycodon	Lycodon rufozonatus	high	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; ENA study title: 'Metagenome or environmental sample from snake metagenome'; library_source: METAGENOMIC; library_strategy: WGS
PRJNA1144187	missing		48	WGS	METAGENOMIC		China	pubmed_metagenom_b1	42388191	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	10.1002/ece3.73902	Ecology and evolution	2026.0	YES								medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; library_source: METAGENOMIC; library_strategy: WGS; biome label: 'snake metagenome'
PRJNA1302101	Phalacrocorax auritus	56069	2	Hi-C	METAGENOMIC		USA: Mississippi	pubmed_metagenom_b1	42354826	Hi-C Metagenome Deconvolution of Double-Crested Cormorant (Nannopterum auritum) Fecal Samples Demonstrates Feasibility of Linking Microbial Genomes, AMR Genes, and Mobile Elements in Avian Microbiomes.	10.3390/microorganisms14061198	Microorganisms	2026.0	YES	Metazoa	Chordata	Aves	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax auritus	high	explicit	Paper title states 'fecal samples'; isolation source states 'Nannopterum auritus fecal samples'; biome label states 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'Hi-C' (shotgun-based)
PRJNA1477333			48	WGS	METAGENOMIC			pubmed_metagenom_b1	42353476	Investigation of the Effect of TiO(2) as a Dietary Marker on Broiler Intestinal Fermentation: Combination of Ex Vivo Simulation and In Vivo Approach.	10.3390/ani16121867	Animals : an open access journal from MDPI	2026.0	YES								medium	inferred	Paper title contains 'Broiler Intestinal Fermentation'; library_source='METAGENOMIC'; library_strategy='WGS'
PRJNA1442370			75	WGS	METAGENOMIC			pubmed_metagenom_b1	42344668	Altitude-Associated Divergence of the Gut Microbiome in Endangered Forest Musk Deer: Evidence From Integrated Metagenomics, Metabolomics, and Culturomics.	10.1111/eva.70285	Evolutionary applications	2026.0	YES								high	explicit	Paper title: 'Altitude-Associated Divergence of the Gut Microbiome in Endangered Forest Musk Deer'; library_source: METAGENOMIC; library_strategy: WGS
PRJEB107655	Callithrix jacchus	9483	64	WGS	METAGENOMIC		USA	pubmed_metagenom_b1	42324618	Mapping the metagenomic landscape: combined shotgun sequencing and quantitative PCR to profile gut metagenome-assembled genomes in marmosets following treatment with a broad-spectrum antibiotic cocktail.	10.1080/19490976.2026.2687925	Gut microbes	2026.0	YES	Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus	high	explicit	Paper title explicitly states 'gut metagenome-assembled genomes'; library_strategy is WGS; library_source is METAGENOMIC; host is Callithrix jacchus (marmoset, an animal)
PRJEB50625	rabbit gut metagenome		30	WGS	METAGENOMIC	intestine	France	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES								high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes...'; ENA study title: 'rabbit gut metagenome'; Host body site: 'intestine'; Sample title: 'rabbit gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
