study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA1211805					78	WGA	pubmed	41572341.0	41572341	Cross-sectional study characterizing the porcine faecal microbiome in commercial farms.	Ornelas MAS	Manzanilla EG	Mammalia	BACKGROUND: The gut microbiome is regarded as an important source of information to better understand and improve health and growth in animals. However, there is a knowledge gap concerning the effects of management and health in commercial farms on the porcine faecal microbiome. This study aimed to identify the main factors associated with differences in microbiota alpha and beta diversity, resistome and functional profiles between and within farms and to study the associations between microbiome and farm characteristics. The faecal microbiomes at four production stages were examined in 18 farms, using shotgun sequencing. RESULTS: Microbiota richness increased with age while evenness and Simpson diversity decreased. Production stage was associated with microbiota composition, resistome and functional profiles, and most differences in the microbiome were observed between weaned pigs and older animals. Microbiota richness, diversity and evenness were higher in farms that purchased feed and in those with lower salmonella prevalence. Microbiota composition was associated with use of zinc oxide and medicated feed in young pigs and with health, biosecurity and feed form in older pigs. Feed form was associated with resistome, functional profiles and especially with core microbiota, as dry fed pigs showed higher abundances of Streptococcus alactolyticus. CONCLUSIONS: Consistent patterns of alpha and beta diversity were observed across farms with contrasting characteristics, suggesting that the faecal microbiota in commercial pig farms is primarily driven by diet and age, rather than health. Associations between microbiome, salmonella prevalence and diet suggested that diet induced changes in the microbiome may be a determining factor in gut colonization and infection by pathogens. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s40813-025-00480-3.		Porcine health management
PRJEB43623	air metagenome			Norway	16	WGS	pubmed	39385092.0	39385092	Detection and characterization of Campylobacter in air samples from poultry houses using shot-gun metagenomics - a pilot study.	Haverkamp THA	Sekse C	Aves	BACKGROUND: Foodborne pathogens such as Campylobacter jejuni are responsible for a large proportion of the gastrointestinal infections worldwide associated with poultry meat. Campylobacter spp. can be found in the chicken fecal microbiome and can contaminate poultry meat during the slaughter process. Commonly used sampling methods to detect Campylobacter spp. at poultry farms use fecal droppings or boot swabs in combination with conventional culture techniques or PCR. In this pilot study, we have used air filtering and filters spiked with mock communities in combination with shotgun metagenomics to detect Campylobacter and test the applicability of this approach for the detection and characterization of foodborne pathogens. To the best of our knowledge is this the first study that combines air filtering with shotgun metagenomic sequencing for detection and characterization of Campylobacter. RESULTS: Analysis of air filters spiked with different levels of Campylobacter, into a background of mock or poultry house communities, indicated that we could detect as little as 200 colony forming units (CFU) Campylobacter per sample using our protocols. The results indicate that even with limited sequencing effort we could detect Campylobacter in the samples analysed in this study. We observed significant amounts of Campylobacter in real-life samples from poultry houses using both real-time PCR as well as shotgun metagenomics, suggesting that the flocks in both houses were infected with Campylobacter spp. Interestingly, in both houses we find diverse microbial communities present in the indoor air which reflect the fecal microbiome of poultry. Some of the identified genera such as Staphylococcus, Escherichia and Pseudomonas are known to contain opportunistic pathogenic species. CONCLUSIONS: These results show that air sampling of poultry houses in combination with shotgun metagenomics can detect and identify Campylobacter spp. present at low levels. This is important since early detection of Campylobacter enables measures to be put in place to ensure the safety of broiler products, animal health and public health. This approach has the potential to detect any pathogen present in poultry house air.		BMC microbiology
PRJNA820553	Equus asinus			Iran:Zanjan	15	WGS	ena_only									
PRJEB41657	Salmo salar	8030.0	Distal gut content	Norway	359	WGS	pubmed	40790604.0	40790604							
PRJEB70517	Mus musculus	10090.0	UBERON:colon	USA;USA:CO:Boulder	173	WGS	ena_only									
PRJNA1047964	Ovis aries	9940.0		China:Qinghai-Tibet Plateau	14	WGS	ena_only									
PRJNA629378	Mus musculus	10090.0		USA: University of Missouri	359	AMPLICON	pubmed	32928304.0	32928304							
PRJNA1061151	Mus musculus	10090.0		USA: Saint Louis, Missouri	298	AMPLICON	pubmed	39868118.0	39868118							
PRJEB58441	feces metagenome			Tanzania	587	WGS	ena_only									
PRJNA385134	Mus musculus	10090.0		Ireland	26	WGS	pubmed	33218339.0	33218339							
PRJEB40719			mouse-gut		31	WGS	ena_only									
PRJNA715658	Gallus gallus	9031.0		Austria: Lower Austria	751	WGS	pubmed	34484168.0	34484168							
PRJNA382943	Mus musculus taxid:10090			USA:Midwest,Columbia, MO	712	AMPLICON	pubmed	29511208.0	29511208							
PRJNA1192539	Mus musculus	10090.0		missing	24	AMPLICON	pubmed	39703374.0	39703374							
PRJNA1405988	Sus scrofa	9823.0		Spain	64	WGS	ena_only									
PRJNA563508	Homo sapiens			China:Qinghai Gengga Lake	99	WGS	pubmed	32122398.0	32122398	Metagenomic analysis reveals the microbiome and resistome in migratory birds.	Cao J	Gao GF	Aves	BACKGROUND: Antibiotic-resistant pathogens pose high risks to human and animal health worldwide. In recent years, the role of gut microbiota as a reservoir of antibiotic resistance genes (ARGs) in humans and animals has been increasingly investigated. However, the structure and function of the gut bacterial community, as well as the ARGs they carry in migratory birds remain unknown. RESULTS: Here, we collected samples from migratory bird species and their associated environments and characterized their gut microbiomes and resistomes using shotgun metagenomic sequencing. We found that migratory birds vary greatly in gut bacterial composition but are similar in their microbiome metabolism and function. Birds from the same environment tend to harbor similar bacterial communities. In total, 1030 different ARGs (202 resistance types) conferring resistance to tetracycline, aminoglycoside, β-lactam, sulphonamide, chloramphenicol, macrolide-lincosamide-streptogramin (MLS), and quinolone are identified. Procrustes analysis indicated that microbial community structure is not correlated with the resistome in migratory birds. Moreover, metagenomic assembly-based host tracking revealed that most of the ARG-carrying contigs originate from Proteobacteria. Co-occurrence patterns revealed by network analysis showed that emrD, emrY, ANT(6)-Ia, and tetO, the hubs of ARG type network, are indicators of other co-occurring ARG types. Compared with the microbiomes and resistomes in the environment, migratory birds harbor a lower phylogenetic diversity but have more antibiotic resistance proteins. Interestingly, we found that the mcr-1 resistance gene is widespread among different birds, accounting for 50% of the total samples. Meanwhile, a large number of novel β-lactamase genes are also reconstructed from bird metagenomic assemblies based on fARGene software. CONCLUSIONS: Our study provides a comprehensive overview of the diversity and abundance of ARGs in migratory birds and highlights the possible role of migratory birds as ARG disseminators into the environment. Video abstract.		Microbiome
PRJNA698773	Cebuella pygmaea	30588.0		Italy	6	Targeted-Capture	pubmed	33973321.0	33973321	Genetic insights into the dark matter of the mammalian gut microbiota through targeted genome reconstruction.	Lugli GA	Ventura M	Mammalia	Whole metagenomic shotgun (WMS) sequencing has dramatically enhanced our ability to study microbial genomics. The possibility to unveil the genetic makeup of bacteria that cannot be easily isolated has significantly expanded our microbiological horizon. Here, we report an approach aimed at uncovering novel bacterial species by the use of targeted WMS sequencing. Employing in silico data retrieved from metabolic modelling to formulate a chemically defined medium (CDM), we were able to isolate and subsequently sequence the genomes of six putative novel species of bacteria from the gut of non-human primates.		Environmental microbiology
PRJNA595610	feces metagenome			USA	1	WGS	ena_only									
PRJDB1459					1	WGS	ena_only									
PRJNA694463	Mus musculus	10090.0		USA: University of Missouri	366	AMPLICON	pubmed	36380056.0	36380056							
PRJNA317339	Macaca fuscata	9542.0		USA	97	AMPLICON	pubmed	29621980.0	29621980							
PRJNA1193792	mouse			China	8	RAD-Seq	pubmed	41112047.0	41112047							
PRJNA475246	Homo sapiens				286	WGS	pubmed	38882494.0	38882494							
PRJNA389927	Homo sapiens	9606.0		Canada:Toronto	181	WGS	pubmed	35440042.0	35440042							
PRJDB16260	Homo sapiens				250	WGS	ena_only									
PRJNA782061	Ctenopharyngodon idella	7959.0		China:Changsha	6	WGS	ena_only									
PRJNA398089	Homo sapiens	9606.0		USA	1000	WGS	pubmed	39947133.0	39947133							
PRJNA1108401	fish gut metagenome			China	1	WGS	ena_only									
PRJNA903767	Ochotona curzoniae	130825.0		China:Qinghai	34	WGS	ena_only									
PRJDB37111	Apodemus chevrieri	129246.0		missing: data agreement established pre-2023	45	AMPLICON	ena_only									
PRJNA926485	Sus scrofa domesticus	9825.0		Denmark	23	WGS	ena_only									
PRJNA1283350	metagenomes			China:Changsha	48	WGS	pubmed	42019469.0	42019469							
PRJEB77930				China	3	WGS	ena_only									
PRJEB50555					537	WGS	ena_only									
PRJNA1227753	mice			China: Guangzhou	9	WGS	pubmed	41639568.0	41639568							
PRJNA487636	Homo sapiens	9606.0		USA: Rochester, MN	180	OTHER	pubmed	39947133.0	39947133							
PRJNA631951	Bos	9903.0		Iran: Karaj	24	WGA	pubmed	39505912.0	39505912							
PRJNA838636	Homo sapiens	9606.0		missing	20	AMPLICON	pubmed	37102874.0	37102874							
PRJEB11419	Homo sapiens	9606.0		USA	998	AMPLICON	pubmed	36389176.0	36389176							
PRJEB74042				USA	931	WGS	ena_only									
PRJNA660443	Homo sapiens	9606.0		USA: Michigan	70	WGS	pubmed	37726374.0	37726374							
PRJNA340296	Sus scrofa	9823.0		China	2	AMPLICON	pubmed	28392784.0	28392784							
PRJNA951897	missing			missing	15	WGS	ena_only									
PRJNA706579	Mus musculus	10090.0		USA: TX	40	AMPLICON	pubmed	33912174.0	33912174							
PRJNA755974	Mus musculus	10090.0		United Kingdom: Norwich	114	AMPLICON	pubmed	37231089.0	37231089							
PRJNA695396	Hypophthalmichthys nobilis	7965.0		China: Chongqing	39	WGS	ena_only									
PRJNA822495	shrimp			China	3	WGS	ena_only									
PRJEB105143	Ovis aries			China	48	WGS	pubmed	41657996.0	41657996							
PRJNA1066879	Bovine				167	AMPLICON	pubmed	39030654.0	39030654	Effects of dietary zinc on the gut microbiome and resistome of the gestating cow and neonatal calf.	Drake MJ	Redding LE	Mammalia	Zinc is an essential trace element required in the diet of all species. While the effects of zinc have been studied in growing calves, little is known about the effect of zinc on the microbiota of the gestating cow or her neonatal calf. Understanding factors that shape the gut health of neonatal animals and evaluating the effect of dietary supplements in adult gestating animals is important in promoting animal health and informing feeding practices. The aims of this study were to determine the effect of dietary zinc on the microbiota and resistome of the gestating cow and calf. Gestating cows received standard (40 ppm) or high (205 ppm) dietary zinc levels from dry off to calving. Fecal samples were collected from cows upon enrollment and at calving and from neonatal calves. Fecal samples underwent 16S rRNA sequencing and a subset also underwent shotgun metagenomic sequencing. The effect of zinc supplementation on the diversity and composition of the cow and calf microbiome and resistome was assessed. Alpha and beta diversity and composition of the microbiota were significantly altered over time but not by treatment in the cows, with alpha diversity decreasing and 14 genera found at significantly higher relative abundances at calving compared to enrollment. Levels of 27 antimicrobial resistance genes significantly increased over time. Only a small number of taxa were differentially expressed at calving in treatment and control groups, including Faecalibacterium, Bacteroides, Turicibacter, and Bifidobacterium pseudolongum. No effect of the dam's treatment group was observed on the diversity or composition of the neonatal calf microbiota. The calf resistome, which was relatively rich and diverse compared to the cow, was also unaffected by the dam's treatment group. The impact of high levels of dietary zinc thus appeared to be minimal, with no observed changes in alpha or beta diversity, and few changes in the relative abundance of a small number of taxa and antimicrobial resistance genes.		Animal microbiome
PRJNA744213	Mus musculus	10090.0		USA	297	WGS	pubmed	36759753.0	36759753							
PRJNA788972	Homo sapiens	9606.0		China: Yellow Sea	2	WGS	pubmed	35019672.0	35019672							
PRJEB39465	Mus musculus	10090.0		Singapore	724	WGS	ena_only									
PRJNA1125130	Equus caballus	9796.0		China	20	WGS	pubmed	41827064.0	41827064							
PRJNA608079	Homo sapiens	9606.0		China:Haikou	92	AMPLICON	pubmed	32663059.0	32663059	The gut microbiome stability is altered by probiotic ingestion and improved by the continuous supplementation of galactooligosaccharide.	Ma C	Zhang J	Mammalia	The stable gut microbiome plays a key role in sustaining host health, while the instability of gut microbiome also has been found to be a risk factor of various metabolic diseases. At the ecological and evolutionary scales, the inevitable competition between the ingested probiotic and indigenous gut microbiome can lead to an increase in the instability. It remains largely unclear if and how exogenous prebiotic can improve the overall gut microbiome stability in probiotic consumption. In this study, we used Lactobacillus plantarum HNU082 (Lp082) as a model probiotic to examine the impact of the continuous or pulsed supplementation of galactooligosaccharide (GOS) on the gut microbiome stability in mice using shotgun metagenomic sequencing. Only continuous GOS supplement promoted the growth of probiotic and decreased its single-nucleotide polymorphisms (SNPs) mutation under competitive conditions. Besides, persistent GOS supplementation increased the overall stability, reshaped the probiotic competitive interactions with Bacteroides species in the indigenous microbiome, which was also evident by over-abundance of carbohydrate-active enzymes (CAZymes) accordingly. Also, we identified a total of 793 SNPs arisen in probiotic administration in the indigenous microbiome. Over 90% of them derived from Bacteroides species, which involved genes encoding transposase, CAZymes, and membrane proteins. However, neither GOS supplementation here de-escalated the overall adaptive mutations within the indigenous microbes during probiotic intake. Collectively, our study demonstrated the beneficial effect of continuous prebiotic supplementation on the ecological and genetic stability of gut microbiomes.		Gut microbes
PRJNA1276128	Sus scrofa domestica			United Kingdom:Wincherster	12	OTHER	pubmed	41904571.0	41904571	Copper is an intestinal habitat filter affecting the gut microbiota interactions with Salmonella Typhimurium.	Kolenda R	Kingsley RA	Mammalia	BACKGROUND: Foodborne pathogens, including Salmonella enterica serovar Typhimurium (S. Typhimurium), pose a significant threat to both human health and livestock productivity. The pandemic S. Typhimurium ST34 clone acquired a genomic island (SGI-4) conferring high copper resistance, an adaptation relevant in the context of the widespread use of copper sulphate at therapeutic levels in pig farming. We investigated how high dietary copper influences the piglet gut microbiota and Salmonella-microbiota interactions that may explain the global spread of S. Typhimurium ST34. RESULTS: An on-farm study combined with faecal shotgun metagenomics revealed that several potential Salmonella competitor species, including Bifidobacterium, Escherichia, and Lactobacillus, were less abundant in piglets on high-copper diets. Anaerobic and aerobic culturing alongside whole genome sequencing of 131 species and copper sulphate susceptibility testing identified copper resistance gene acquisition in selected microbes, particularly within Escherichia. Niche competition assays demonstrated that copper resistance is critical for inter-species competition under high-copper conditions, with Salmonella's Type VI Secretion System providing a distinct advantage over Escherichia in the copper-modified niche. CONCLUSIONS: Our findings suggest that copper supplementation alters the piglet gut environment, impacting competitive dynamics between pathogenic and commensal bacteria, likely to influence the zoonotic transmission of pathogens. Video Abstract.		Microbiome
PRJNA909453	Homo sapiens	9606.0		China: Shanghai	50	WGS	ena_only									
PRJNA377666	Gallus gallus	9031.0			450	WGS	pubmed	30064352.0	30064352	Whole genome sequencing and function prediction of 133 gut anaerobes isolated from chicken caecum in pure cultures.	Medvecky M	Rychlik I	Aves	BACKGROUND: In order to start to understand the function of individual members of gut microbiota, we cultured, sequenced and analysed bacterial anaerobes from chicken caecum. RESULTS: Altogether 204 isolates from chicken caecum were obtained in pure cultures using Wilkins-Chalgren anaerobe agar and anaerobic growth conditions. Genomes of all the isolates were determined using the NextSeq platform and subjected to bioinformatic analysis. Among 204 sequenced isolates we identified 133 different strains belonging to seven different phyla - Firmicutes, Bacteroidetes, Actinobacteria, Proteobacteria, Verrucomicrobia, Elusimicrobia and Synergistetes. Genome sizes ranged from 1.51 Mb in Elusimicrobium minutum to 6.70 Mb in Bacteroides ovatus. Clustering based on the presence of protein coding genes showed that isolates from phyla Proteobacteria, Verrucomicrobia, Elusimicrobia and Synergistetes did not cluster with the remaining isolates. Firmicutes split into families Lactobacillaceae, Enterococcaceae, Veillonellaceae and order Clostridiales from which the Clostridium perfringens isolates formed a distinct sub-cluster. All Bacteroidetes isolates formed a separate cluster showing similar genetic composition in all isolates but distinct from the rest of the gut anaerobes. The majority of Actinobacteria clustered closely together except for the representatives of genus Gordonibacter showing that the genome of this genus differs from the rest of Actinobacteria sequenced in this study. Representatives of Bacteroidetes commonly encoded proteins (collagenase, hemagglutinin, hemolysin, hyaluronidase, heparinases, chondroitinase, mucin-desulfating sulfatase or glutamate decarboxylase) that may enable them to interact with their host. Aerotolerance was recorded in Akkermansia and Cloacibacillus and was also common among representatives of Bacteroidetes. On the other hand, Elusimicrobium and the majority of Clostridiales were highly sensitive to air exposure despite their potential for spore formation. CONCLUSIONS: Major gut microbiota members utilise different strategies for gut colonisation. High oxygen sensitivity of Firmicutes may explain their commonly reported decrease after oxidative burst during gut inflammation.		BMC genomics
PRJNA237795	189	9825.0		USA: Ames, Iowa	146	AMPLICON	ena_only									
PRJNA945233	Ctenopharyngodon idella				72	RNA-Seq	pubmed	38167330.0	38167330							
PRJNA1141391	Mus musculus	10090.0		China: Hunan	24	WGS	pubmed	39277616.0	39277616							
PRJNA863566	mice				6	WGS	ena_only									
PRJNA1148062	Porcine				6	WGS	ena_only									
PRJNA493153	Homo sapiens	9606.0		USA: Arkansas	1	WGS	ena_only									
PRJEB29152					47	WGS	ena_only									
PRJDB16637	Plecoglossus altivelis	61084.0		Japan	123	AMPLICON	ena_only									
PRJNA865396	Eriocheir sinensis	95602.0		China: Shenyang	6	WGS	ena_only									
PRJNA1273087	Sus scrofa domesticus	9825.0		United Kingdom:Wincherster	461	WGS	pubmed	41904571.0	41904571	Copper is an intestinal habitat filter affecting the gut microbiota interactions with Salmonella Typhimurium.	Kolenda R	Kingsley RA	Mammalia	BACKGROUND: Foodborne pathogens, including Salmonella enterica serovar Typhimurium (S. Typhimurium), pose a significant threat to both human health and livestock productivity. The pandemic S. Typhimurium ST34 clone acquired a genomic island (SGI-4) conferring high copper resistance, an adaptation relevant in the context of the widespread use of copper sulphate at therapeutic levels in pig farming. We investigated how high dietary copper influences the piglet gut microbiota and Salmonella-microbiota interactions that may explain the global spread of S. Typhimurium ST34. RESULTS: An on-farm study combined with faecal shotgun metagenomics revealed that several potential Salmonella competitor species, including Bifidobacterium, Escherichia, and Lactobacillus, were less abundant in piglets on high-copper diets. Anaerobic and aerobic culturing alongside whole genome sequencing of 131 species and copper sulphate susceptibility testing identified copper resistance gene acquisition in selected microbes, particularly within Escherichia. Niche competition assays demonstrated that copper resistance is critical for inter-species competition under high-copper conditions, with Salmonella's Type VI Secretion System providing a distinct advantage over Escherichia in the copper-modified niche. CONCLUSIONS: Our findings suggest that copper supplementation alters the piglet gut environment, impacting competitive dynamics between pathogenic and commensal bacteria, likely to influence the zoonotic transmission of pathogens. Video Abstract.		Microbiome
PRJNA906507	Gallus gallus	9031.0		USA	32	WGS	ena_only									
PRJNA1011357	Cyprinus carpio	7962.0		Mexico: State of Mexico	10	WGS	ena_only									
PRJNA1288408	Rattus norvegicus	10116.0		Turkey: Eastern Anatolia Region	28	AMPLICON	pubmed	41714980.0	41714980							
PRJDB6503	Homo sapiens	9606.0		Japan	30	WGS	ena_only									
PRJNA935053	Chanodichthys erythropterus	933992.0		South Korea: Estuary of the Nakdong	1	WGS	ena_only									
PRJNA656389	Bubalus bubalis	89462.0			695	WGS	pubmed	39505912.0	39505912							
PRJEB58265	Crocidura russula			Spain	110	WGS	pubmed	37650630.0	37650630							
PRJEB7774				Austria	156	WGS	pubmed	35440042.0	35440042							
PRJNA574033	Homo sapiens	56798.0		Italy	2	WGA	pubmed	31698863.0	31698863							
PRJNA1180741	Sus scrofa vittatus	2485929.0		Singapore: Lorong Halus	178	AMPLICON	pubmed	41928361.0	41928361							
PRJNA322188	Homo sapiens	9606.0		USA	1000	AMPLICON	pubmed	38882494.0	38882494							
PRJNA564888	Tupaia glis	9395.0		Singapore	13	WGS	pubmed	31697678.0	31697678							
PRJNA293646	Bos	9903.0		China:Beijing	13	WGS	ena_only									
PRJEB79635	bird metagenome			United Kingdom	5	WGS	pubmed	40302838.0	40302838	Faecal metagenomes of great tits and blue tits provide insights into host, diet, pathogens and microbial biodiversity.	Pallen MJ	Davidson GL	Aves	Background. The vertebrate gut microbiome plays crucial roles in host health and disease. However, there is limited information on the microbiomes of wild birds, most of which is restricted to barcode sequences. We therefore explored the use of shotgun metagenomics on the faecal microbiomes of two wild bird species widely used as model organisms in ecological studies: the great tit (Parus major) and the Eurasian blue tit (Cyanistes caeruleus). Results. Short-read sequencing of five faecal samples generated a metagenomic dataset, revealing substantial variation in composition between samples. Reference-based profiling with Kraken2 identified key differences in the ratios of reads assigned to host, diet and microbes. Some samples showed high abundance of potential pathogens, including siadenoviruses, coccidian parasites and the antimicrobial-resistant bacterial species Serratia fonticola. From metagenome assemblies, we obtained complete mitochondrial genomes from the host species and from Isospora spp., while metagenome-assembled genomes documented new prokaryotic species. Conclusions. Here, we have shown the utility of shotgun metagenomics in uncovering microbial diversity beyond what is possible with 16S rRNA gene sequencing. These findings provide a foundation for future hypothesis testing and microbiome manipulation to improve fitness in wild bird populations. The study also highlights the potential role of wild birds in the dissemination of antimicrobial resistance.		Access microbiology
PRJEB70928	Macaca mulatta			Netherlands	129	WGS	pubmed	40275402.0	40275402							
PRJEB60545	Salmo salar	8030.0			48	AMPLICON	pubmed	41700855.0	41700855	Genotypic characterization of gut isolates from Atlantic salmon fry reveals beneficial microbes with biotechnological potential.	Rojas Calderón D	La Rosa SL	Actinopterygii	Aquaculture is a rapidly growing industry, with Atlantic salmon being one of the most intensively farmed food-producing fish in the world. While the gut microbiota is recognized to play an important role in the health and performance of various fish, knowledge of its functional capacities in salmon is gradually expanding, facilitating a better understanding of host-microbiome interactions. Nevertheless, data on the gut microbiota of juvenile salmon remain limited. Here, we isolated and genotypically characterized 11 bacteria obtained from the gut content of Atlantic salmon fry. Whole-genome sequencing using long-read Nanopore technology and functional annotation revealed their extensive metabolic versatility, including a broad array of carbohydrate-active enzymes, proteases, lipases, and (poly)phenol-degrading enzymes potentially contributing to the metabolism of feed-derived components. Additionally, all isolates possessed genomic potential for producing beneficial metabolites, including the short-chain fatty acids acetate and propionate, as well as several B vitamins and vitamin K2. Genes encoding bacteriocins and other secondary metabolites were identified, suggesting niche competitiveness against intestinal pathogens. Among the isolates, we further show that Lactococcus raffinolactis ASF-5 has the potential to selectively remove indigestible oligosaccharides from plant-based feeds. Indeed, this isolate grew on raffinose, an oligosaccharide associated with anti-nutritional effects in salmon. Using AlphaFold 3 models, we show that this capability is supported by a GH36 α-galactosidase and two GH32 sucrases, which can act cooperatively in the complete hydrolysis of raffinose. Finally, L. raffinolactis ASF-5 had a favorable safety profile for use as a feed supplement, showing susceptibility to all tested antibiotics and lacking hemolytic activity.IMPORTANCEAlthough metataxonomy studies have enhanced our knowledge of the salmon gut microbiota, the functional potential of bacteria from this ecosystem remains underexplored. Well-characterized bacterial isolates are crucial to advance the growing salmon aquaculture field, allowing insights into nutrient metabolism, informing the development of beneficial interventions, and helping in identifying enzymes to improve feed digestibility. This study highlights the functional capacity of 11 bacteria isolated from the gut of salmon fry in contributing to the metabolism of carbohydrates, proteins, lipids, fatty acids, and (poly)phenols from feed, potentially increasing nutrient availability for the host or providing beneficial metabolites, including short-chain fatty acids, vitamins, and bacteriocins. Importantly, Lactococcus raffinolactis ASF-5 could be used to remove indigestible sugars like raffinose from plant meals. Identifying such beneficial, host-specific bacteria opens new opportunities for developing customized feed supplements or enzymes that enhance feed digestibility, to promote the health and welfare of Atlantic salmon, and enhance the economic sustainability of aquaculture.		Applied and environmental microbiology
PRJNA997708	missing'			China:zhengzhou	9	AMPLICON	pubmed	38349151.0	38349151							
PRJNA1046219	feces			China: Jiaxing	8	WGS	ena_only									
PRJNA772302	Danio rerio	7955.0		USA	8	RNA-Seq	pubmed	37304849.0	37304849							
PRJNA525682	Mus musculus				15	AMPLICON	pubmed	31061496.0	31061496							
PRJNA495010	Sus scrofa	9823.0		China: Henan	3	WGS	ena_only									
PRJNA1170529	Sus scrofa domesticus	9825.0		Poland: Olsztyn	30	RNA-Seq	pubmed	39779716.0	39779716							
PRJEB55711				China	44	WGS	pubmed	36713446.0	36713446							
PRJNA915251	Homo sapiens	9606.0		United Kingdom: Bath	683	WGS	ena_only									
PRJEB5224				Spain	260	WGS	pubmed	37398234.0	37398234							
PRJEB102170				Latvia	71	WGS	ena_only									
PRJNA1035647	Bos taurus indicus			Pakistan: Okara, Punjab	12	AMPLICON	pubmed	38575861.0	38575861							
PRJEB47836	Myotis capaccinii				96	AMPLICON	pubmed	34711286.0	34711286	The role of the gut microbiota in the dietary niche expansion of fishing bats.	Aizpurua O	Alberdi A	Mammalia	BACKGROUND: Due to its central role in animal nutrition, the gut microbiota is likely a relevant factor shaping dietary niche shifts. We analysed both the impact and contribution of the gut microbiota to the dietary niche expansion of the only four bat species that have incorporated fish into their primarily arthropodophage diet. RESULTS: We first compared the taxonomic and functional features of the gut microbiota of the four piscivorous bats to that of 11 strictly arthropodophagous species using 16S rRNA targeted amplicon sequencing. Second, we increased the resolution of our analyses for one of the piscivorous bat species, namely Myotis capaccinii, and analysed multiple populations combining targeted approaches with shotgun sequencing. To better understand the origin of gut microorganisms, we also analysed the gut microbiota of their fish prey (Gambusia holbrooki). Our analyses showed that piscivorous bats carry a characteristic gut microbiota that differs from that of their strict arthropodophagous counterparts, in which the most relevant bacteria have been directly acquired from their fish prey. This characteristic microbiota exhibits enrichment of genes involved in vitamin biosynthesis, as well as complex carbohydrate and lipid metabolism, likely providing their hosts with an enhanced capacity to metabolise the glycosphingolipids and long-chain fatty acids that are particularly abundant in fish. CONCLUSIONS: Our results depict the gut microbiota as a relevant element in facilitating the dietary transition from arthropodophagy to piscivory.		Animal microbiome
